composite_ID,UID,n_items,full_scale,extremes_only,rating_sd,rating_mean,n_categories_used,n_02,n_04,n_06,n_08,n_10
A010_1,A010,72,True,False,0.3090193484985671,0.7166666666666667,5,8,16,10,2,36
A010_2,A010,72,True,False,0.32016232189791993,0.6055555555555553,5,15,21,7,5,24
A010_3,A010,72,True,False,0.3397389221317858,0.47500000000000003,5,36,13,1,4,18
A010_4,A010,72,True,False,0.3369289639680201,0.5166666666666665,5,31,12,2,10,17
A011_1,A011,72,True,False,0.25999578665178846,0.8527777777777777,5,6,3,8,4,51
A011_2,A011,72,True,False,0.29389990098618096,0.7194444444444444,5,8,12,13,7,32
A011_3,A011,72,True,False,0.29728821317055415,0.658333333333333,5,11,15,11,12,23
A011_4,A011,72,True,False,0.2801603609649749,0.48055555555555585,5,26,17,12,8,9
A012_1,A012,72,True,False,0.2765764319165785,0.7888888888888888,5,5,11,7,9,40
A012_2,A012,72,True,False,0.30866464879333116,0.5777777777777775,5,17,18,13,4,20
A012_3,A012,72,True,False,0.30936099520158106,0.6249999999999997,5,11,23,9,4,25
A012_4,A012,72,True,False,0.30437601323607916,0.5555555555555555,5,20,17,9,11,15
A013_1,A013,72,True,False,0.3450068607423792,0.5611111111111111,5,27,10,8,4,23
A013_2,A013,72,True,False,0.32846205860595523,0.5499999999999999,5,28,6,11,10,17
A013_3,A013,72,True,False,0.3322517664463641,0.5944444444444446,5,23,8,11,8,22
A013_4,A013,72,True,False,0.25192529384248274,0.4361111111111109,5,27,23,10,6,6
A014_1,A014,72,True,False,0.269454326005015,0.7916666666666665,5,7,6,6,17,36
A014_2,A014,72,True,False,0.23361820303377986,0.7916666666666667,5,3,4,20,11,34
A014_3,A014,72,True,False,0.28345067992495937,0.6722222222222223,5,7,18,13,10,24
A014_4,A014,72,True,False,0.27463163548882635,0.625,5,12,12,18,15,15
A015_1,A015,72,False,False,0.33510094711509475,0.7694444444444449,4,15,3,7,0,47
A015_2,A015,72,True,False,0.37553300670331324,0.6194444444444447,5,29,2,7,1,33
A015_3,A015,72,False,False,0.3797289206896648,0.605555555555556,4,30,4,5,0,33
A015_4,A015,72,False,False,0.3661755139851019,0.5333333333333337,4,36,2,9,0,25
A016_1,A016,72,True,False,0.2828288798440948,0.7472222222222221,5,6,13,8,12,33
A016_2,A016,72,True,False,0.3218564109906383,0.625,5,19,10,7,15,21
A016_3,A016,72,True,False,0.2975118519226231,0.577777777777778,5,18,15,10,15,14
A016_4,A016,72,True,False,0.2448850773229387,0.44444444444444436,5,27,19,12,11,3
A017_1,A017,72,True,False,0.37311865054770643,0.7222222222222224,5,23,1,2,1,45
A017_2,A017,72,False,False,0.34148483653556944,0.8027777777777778,4,17,0,1,1,53
A017_3,A017,72,False,True,0.3608371417682764,0.7777777777777782,2,20,0,0,0,52
A017_4,A017,72,False,True,0.3951188882314356,0.6777777777777779,2,29,0,0,0,43
A018_1,A018,72,False,False,0.38009964923554296,0.6444444444444445,4,27,4,4,0,37
A018_2,A018,72,False,False,0.3822243603681507,0.5694444444444448,4,35,1,6,0,30
A018_3,A018,72,True,False,0.33040971388525175,0.4111111111111109,5,48,4,3,2,15
A018_4,A018,72,True,False,0.3122937504041204,0.3777777777777776,5,51,5,2,1,13
A019_1,A019,72,False,False,0.17361118935835482,0.5499999999999999,4,2,32,20,18,0
A019_2,A019,72,False,False,0.1285223594169884,0.5194444444444446,3,0,35,31,6,0
A019_3,A019,72,False,False,0.13426901732747026,0.566666666666667,4,1,20,41,10,0
A019_4,A019,72,False,False,0.13274518166429267,0.43888888888888905,3,10,38,24,0,0
A020_1,A020,72,True,False,0.36355917519079983,0.6277777777777775,5,25,7,4,5,31
A020_2,A020,72,True,False,0.3630422661494865,0.5944444444444446,5,28,7,3,7,27
A020_3,A020,72,True,False,0.30610634665367337,0.4694444444444447,5,34,9,10,8,11
A020_4,A020,72,True,False,0.26203429514280363,0.3749999999999998,5,45,7,9,6,5
A021_1,A021,72,True,False,0.269454326005015,0.725,5,3,17,14,8,30
A021_2,A021,72,True,False,0.28234431083192546,0.6833333333333331,5,7,15,17,7,26
A021_3,A021,72,True,False,0.30022161871572134,0.6527777777777772,5,6,28,6,5,27
A021_4,A021,72,True,False,0.3595772165305907,0.6166666666666666,5,22,15,1,3,31
A022_1,A022,72,True,False,0.33761336703765726,0.4694444444444445,5,42,2,1,15,12
A022_2,A022,72,True,False,0.27371838217162936,0.39722222222222214,5,45,3,6,16,2
A022_3,A022,72,True,False,0.339934634239519,0.47777777777777797,5,41,1,5,11,14
A022_4,A022,72,True,False,0.20044941681405676,0.3194444444444442,5,49,9,9,4,1
A023_1,A023,72,True,False,0.3352526900670345,0.6499999999999999,5,18,11,6,9,28
A023_2,A023,72,True,False,0.3126443328660211,0.6499999999999999,5,18,3,17,11,23
A023_3,A023,72,True,False,0.26179529448183847,0.663888888888889,5,8,9,27,8,20
A023_4,A023,72,True,False,0.3020923383796223,0.6527777777777777,5,12,13,16,6,25
