item_name,b,a,Discrim_All,factor
TQ_ICR-D-i1,1.030029058456421,0.43238458,0.43238458,All
TQ_ICR-D-i2,1.602836012840271,0.56646997,0.56646997,All
TQ_ICR-D-i3,0.8428934216499329,0.61637074,0.61637074,All
TQ_ICR-D-i4,1.3524144887924194,0.73893476,0.73893476,All
TQ_ICR-D-i5,2.7823171615600586,0.4539779,0.4539779,All
TQ_ICR-D-i6,1.0521612167358398,1.0085856,1.0085856,All
TQ_ICR-N-i1,-1.8395318984985352,1.5118351,1.5118351,All
TQ_ICR-N-i2,-2.984334707260132,0.5307713,0.5307713,All
TQ_ICR-N-i3,-3.2370662689208984,0.92900926,0.92900926,All
TQ_ICR-N-i4,-2.2551043033599854,1.279813,1.279813,All
TQ_ICR-N-i5,-2.094982147216797,1.1247412,1.1247412,All
TQ_ICR-N-i6,-2.2856907844543457,1.025901,1.025901,All
TQ_ICR-O-i1,4.0667500495910645,0.314494,0.314494,All
TQ_ICR-O-i2,2.755235433578491,0.7153773,0.7153773,All
TQ_ICR-O-i3,2.442400932312012,0.23437956,0.23437956,All
TQ_ICR-O-i4,2.2647805213928223,0.435064,0.435064,All
TQ_ICR-O-i5,4.526728630065918,0.20250656,0.20250656,All
TQ_ICR-O-i6,6.435747623443604,0.17403767,0.17403767,All
TQ_ICR-U-i1,-0.2949244678020477,1.322589,1.322589,All
TQ_ICR-U-i2,-0.967545449733734,0.93838096,0.93838096,All
TQ_ICR-U-i3,-0.7068564891815186,1.0971379,1.0971379,All
TQ_ICR-U-i4,-0.7181458473205566,0.7963387,0.7963387,All
TQ_ICR-U-i5,-0.1185307875275611,1.4102803,1.4102803,All
TQ_ICR-U-i6,-0.5402749180793762,0.9818643,0.9818643,All
TQ_IFR-D-i1,1.779022455215454,0.3587844,0.3587844,All
TQ_IFR-D-i2,2.102848052978516,0.43212464,0.43212464,All
TQ_IFR-D-i3,1.193858981132507,0.4896917,0.4896917,All
TQ_IFR-D-i4,2.715559959411621,0.2741113,0.2741113,All
TQ_IFR-D-i5,3.021573781967163,0.22609408,0.22609408,All
TQ_IFR-D-i6,5.223160266876221,0.20736371,0.20736371,All
TQ_IFR-N-i1,-0.4085560441017151,0.9563021,0.9563021,All
TQ_IFR-N-i2,-0.1804386228322982,0.60955864,0.60955864,All
TQ_IFR-N-i3,-0.5939727425575256,0.6104455,0.6104455,All
TQ_IFR-N-i4,-0.7919915318489075,0.500619,0.500619,All
TQ_IFR-N-i5,0.6029676198959351,0.90584344,0.90584344,All
TQ_IFR-N-i6,0.5168908834457397,0.82600474,0.82600474,All
TQ_IFR-O-i1,132.85037231445312,0.0069238422,0.0069238422,All
TQ_IFR-O-i2,5.076365947723389,0.20817877,0.20817877,All
TQ_IFR-O-i3,1.7285451889038086,0.24436,0.24436,All
TQ_IFR-O-i4,83.9183120727539,0.008170327,-0.008170327,All
TQ_IFR-O-i5,6.01021671295166,0.09048013,-0.09048013,All
TQ_IFR-O-i6,4.1462883949279785,0.2152022,-0.2152022,All
TQ_IFR-U-i1,-0.0424206405878067,1.0379757,1.0379757,All
TQ_IFR-U-i2,-0.2427144944667816,0.6957983,0.6957983,All
TQ_IFR-U-i3,-0.1384511440992355,0.6454853,0.6454853,All
TQ_IFR-U-i4,-0.1447736173868179,0.51706225,0.51706225,All
TQ_IFR-U-i5,0.3790909945964813,0.7371853,0.7371853,All
TQ_IFR-U-i6,0.3350540697574615,0.5419526,0.5419526,All
TQ_IRE-D-i1,0.9739011526107788,0.5227424,0.5227424,All
TQ_IRE-D-i2,1.483767867088318,0.4874433,0.4874433,All
TQ_IRE-D-i3,0.4952332079410553,0.6965944,0.6965944,All
TQ_IRE-D-i4,1.505263328552246,0.6703771,0.6703771,All
TQ_IRE-D-i5,1.84685492515564,0.38430804,0.38430804,All
TQ_IRE-D-i6,0.9841734170913696,0.9270708,0.9270708,All
TQ_IRE-N-i1,-2.4667069911956787,1.7044462,1.7044462,All
TQ_IRE-N-i2,-6.178278923034668,0.4310218,0.4310218,All
TQ_IRE-N-i3,-4.211312294006348,0.51346433,0.51346433,All
TQ_IRE-N-i4,-3.0803792476654053,0.68473387,0.68473387,All
TQ_IRE-N-i5,-6.308078765869141,0.3514193,0.3514193,All
TQ_IRE-N-i6,-4.170761585235596,0.696953,0.696953,All
TQ_IRE-O-i1,3.312957525253296,0.34475154,0.34475154,All
TQ_IRE-O-i2,4.865671157836914,0.39348543,0.39348543,All
TQ_IRE-O-i3,2.674260139465332,0.20526561,0.20526561,All
TQ_IRE-O-i4,11.739812850952148,0.08706717,0.08706717,All
TQ_IRE-O-i5,4.259873390197754,0.23046875,0.23046875,All
TQ_IRE-O-i6,4.079226970672607,0.38331345,0.38331345,All
TQ_IRE-U-i1,-0.51707923412323,1.087926,1.087926,All
TQ_IRE-U-i2,-1.601306438446045,0.7704881,0.7704881,All
TQ_IRE-U-i3,-0.6868196129798889,1.2497456,1.2497456,All
TQ_IRE-U-i4,-0.7018673419952393,0.82090497,0.82090497,All
TQ_IRE-U-i5,-0.2972952425479889,1.2193555,1.2193555,All
TQ_IRE-U-i6,-0.9369108080863952,0.742267,0.742267,All
TQ_RFR-L-DOOR,0.3664340376853943,0.5558986,0.5558986,All
TQ_RFR-L-LAND,-0.1534236967563629,0.48397586,0.48397586,All
TQ_RFR-L-OBJ1,-2.474792957305908,0.88280624,0.88280624,All
TQ_RFR-L-OBJ2,-2.1916627883911133,0.9495933,0.9495933,All
TQ_RFR-L-OBJ3,-1.6700679063796997,0.99686277,0.99686277,All
TQ_RFR-L-OBJ4,-2.277643918991089,0.74523646,0.74523646,All
TQ_RFR-L-PORT,-1.152918577194214,0.96217376,0.96217376,All
TQ_RFR-L-STRA,-0.876424252986908,1.1090852,1.1090852,All
TQ_RFR-L-WIND,1.613616108894348,0.4057564,0.4057564,All
TQ_RFR-N-LAND,-0.2343785315752029,0.66689026,0.66689026,All
TQ_RFR-N-OBJ1,-4.237797737121582,1.1083144,1.1083144,All
TQ_RFR-N-OBJ2,-3.060476541519165,0.99883366,0.99883366,All
TQ_RFR-N-OBJ3,-2.212875843048096,0.951075,0.951075,All
