TSVR_hours,theta,UID,data_type
26.26,0.14172223,A040,observed
71.28,-1.6828778,A040,observed
143.53,-1.6119773,A040,observed
1.0,1.1962991,A041,observed
31.78,-1.1736511,A041,observed
75.74,0.2872409,A041,observed
141.84,0.1290578,A041,observed
1.0,-0.8806226,A042,observed
28.93,-0.99250966,A042,observed
72.17,-0.17139933,A042,observed
146.02,-1.260689,A042,observed
1.0,1.0349586,A043,observed
25.62,0.5667534,A043,observed
64.94,0.56906503,A043,observed
149.33,-0.36708274,A043,observed
1.0,-0.0888245,A044,observed
47.66,-0.37333766,A044,observed
91.63,-1.308094,A044,observed
155.27,-1.7971689,A044,observed
1.0,-0.9017756,A045,observed
24.66,-1.0143217,A045,observed
72.23,-1.1242429,A045,observed
151.52,-1.2476392,A045,observed
1.0,-0.7687857,A046,observed
24.32,-1.3034526,A046,observed
73.05,-1.624248,A046,observed
147.94,-1.154563,A046,observed
1.0,-0.7466336,A047,observed
23.46,-0.5145792,A047,observed
76.85,-1.2429395,A047,observed
144.22,-1.600209,A047,observed
1.0,1.0764405,A048,observed
23.91,-0.06019045,A048,observed
81.15,0.14282681,A048,observed
146.3,0.09614354,A048,observed
1.0,2.1010969,A049,observed
27.12,-0.5321013,A049,observed
111.38,0.37812865,A049,observed
168.86,0.034191336,A049,observed
1.0,-0.39878848,A050,observed
24.73,-0.71372736,A050,observed
93.39,-0.9261868,A050,observed
148.69,-1.1381246,A050,observed
1.0,1.5230782,A051,observed
17.16,-0.30774206,A051,observed
65.63,-0.6520249,A051,observed
146.99,-0.72000563,A051,observed
1.0,0.58457315,A052,observed
31.76,0.3844317,A052,observed
80.98,0.116021834,A052,observed
153.27,-0.8312764,A052,observed
1.0,1.401935,A053,observed
32.71,0.97594434,A053,observed
78.28,-0.40916884,A053,observed
148.9,-0.13549207,A053,observed
1.0,0.52522403,A054,observed
16.9,1.1258696,A054,observed
72.83,1.191061,A054,observed
136.83,1.2362738,A054,observed
1.0,0.28537354,A055,observed
23.24,0.8647509,A055,observed
74.48,-0.119812906,A055,observed
149.21,-0.62007034,A055,observed
1.0,0.5282342,A056,observed
33.61,0.54977185,A056,observed
71.46,-0.4118956,A056,observed
147.84,-0.9539059,A056,observed
1.0,0.4946756,A057,observed
24.78,-0.77376056,A057,observed
73.83,-0.68134856,A057,observed
145.06,-1.0877718,A057,observed
1.0,1.0215306,A058,observed
22.96,-0.8427394,A058,observed
66.28,-0.121771336,A058,observed
143.48,-1.0669552,A058,observed
1.0,0.99710035,A059,observed
30.4,1.2424322,A059,observed
79.78,1.3356622,A059,observed
151.93,0.38432297,A059,observed
1.0,-0.051358394,A060,observed
24.87,1.310061,A060,observed
94.68,-0.5090028,A060,observed
143.91,0.19280487,A060,observed
1.0,2.529091,A061,observed
35.16,0.94611883,A061,observed
82.55,0.27741587,A061,observed
146.56,-0.2929151,A061,observed
1.0,1.5359104,A062,observed
44.69,0.14121151,A062,observed
92.72,-0.59946907,A062,observed
149.18,-0.7168849,A062,observed
1.0,0.86206603,A063,observed
21.98,0.7186035,A063,observed
69.99,0.17484958,A063,observed
141.09,-0.58241045,A063,observed
1.0,0.83211017,A064,observed
37.65,0.56187433,A064,observed
82.99,0.17636402,A064,observed
156.21,-0.33321425,A064,observed
1.0,-2.2385516,A065,observed
32.31,-0.9801161,A065,observed
106.41,-2.2205753,A065,observed
187.43,-2.3754525,A065,observed
1.0,0.46571386,A066,observed
23.35,-0.45289963,A066,observed
73.79,-0.92944336,A066,observed
164.93,-1.2830758,A066,observed
1.0,0.6627066,A067,observed
29.91,-1.312235,A067,observed
73.19,-1.4752139,A067,observed
144.19,-1.1757759,A067,observed
1.0,1.3038205,A068,observed
30.49,0.163223,A068,observed
82.98,0.4192529,A068,observed
155.59,-0.3906647,A068,observed
1.0,-0.7867887,A069,observed
24.96,-1.5067587,A069,observed
79.75,-0.71302193,A069,observed
140.22,-1.7110198,A069,observed
1.0,0.5967721,A070,observed
24.25,0.042192243,A070,observed
81.92,-0.4347659,A070,observed
149.2,-1.0469787,A070,observed
1.0,1.1001538,A071,observed
30.92,0.40058818,A071,observed
79.96,-0.86193055,A071,observed
153.27,0.1462163,A071,observed
1.0,0.9622242,A072,observed
33.76,0.37431285,A072,observed
83.54,-0.88631296,A072,observed
154.89,-0.13873519,A072,observed
1.0,0.8751058,A073,observed
66.66,-0.48682293,A073,observed
66.9,-0.018863132,A073,observed
140.12,0.9759681,A073,observed
1.0,1.1391835,A074,observed
29.33,-0.16370372,A074,observed
73.02,-0.85258937,A074,observed
147.21,-1.1428367,A074,observed
1.0,0.4822121,A075,observed
28.68,0.49708104,A075,observed
71.37,-1.5457226,A075,observed
244.53,-0.5980336,A075,observed
1.0,-0.39436588,A076,observed
27.3,-0.7679121,A076,observed
74.88,-1.2046329,A076,observed
149.28,-2.5163941,A076,observed
1.0,1.257486,A077,observed
53.88,-0.15718071,A077,observed
78.36,0.254887,A077,observed
149.75,0.58986604,A077,observed
1.0,0.05510661,A078,observed
26.17,0.07325087,A078,observed
72.3,-1.0537938,A078,observed
140.08,-1.0697036,A078,observed
1.0,0.49688977,A079,observed
26.11,-0.40158516,A079,observed
74.0,-0.94553256,A079,observed
194.42,-0.9119565,A079,observed
1.0,0.35685366,A080,observed
29.03,0.34285796,A080,observed
72.87,0.31786218,A080,observed
145.77,-0.8033879,A080,observed
1.0,0.56923956,A081,observed
31.39,-0.24241331,A081,observed
80.13,0.93472326,A081,observed
154.53,0.18450806,A081,observed
1.0,0.47511065,A082,observed
27.97,1.1720833,A082,observed
75.71,0.4018064,A082,observed
170.25,-0.08527875,A082,observed
1.0,1.9135383,A083,observed
25.15,0.9028967,A083,observed
74.3,0.21852846,A083,observed
144.91,-0.03377411,A083,observed
1.0,0.37614724,A084,observed
27.25,-0.4066572,A084,observed
91.97,0.011830099,A084,observed
162.51,-0.024996497,A084,observed
1.0,0.29977113,A085,observed
24.51,1.7130281,A085,observed
71.4,-0.14947924,A085,observed
170.65,-0.5059031,A085,observed
1.0,0.9054527,A086,observed
23.47,-0.35819164,A086,observed
145.29,-1.1229844,A086,observed
169.55,-1.1456217,A086,observed
1.0,1.164813,A087,observed
31.07,1.112516,A087,observed
72.8,-0.23325346,A087,observed
144.2,0.27864328,A087,observed
1.0,2.00997,A088,observed
24.25,2.599694,A088,observed
74.91,0.43418288,A088,observed
149.93,1.1879628,A088,observed
1.0,1.6034564,A089,observed
32.14,0.9674698,A089,observed
79.34,0.524776,A089,observed
146.96,0.3647498,A089,observed
1.0,0.20163605,A090,observed
23.54,-0.51139903,A090,observed
95.42,-1.5578265,A090,observed
144.07,-1.1440647,A090,observed
1.0,0.64397514,A091,observed
22.2,-0.25296763,A091,observed
73.64,-1.0806334,A091,observed
142.61,-0.80276793,A091,observed
1.0,-0.28513366,A092,observed
22.83,-0.78696686,A092,observed
71.31,-0.45482323,A092,observed
146.16,-1.3833519,A092,observed
1.0,0.56161565,A093,observed
22.09,0.19028424,A093,observed
70.22,0.67098945,A093,observed
140.95,0.5149613,A093,observed
1.0,-0.70889944,A094,observed
22.98,-0.17624284,A094,observed
76.21,-1.6861137,A094,observed
149.99,-1.1788263,A094,observed
1.0,1.5409168,A095,observed
29.71,-0.27584857,A095,observed
78.76,-0.5608494,A095,observed
148.79,-0.7580661,A095,observed
1.0,-0.45961466,A096,observed
24.49,-1.2598481,A096,observed
71.19,-2.12857,A096,observed
143.66,-1.4557325,A096,observed
1.0,0.24293853,A097,observed
24.37,-0.5491651,A097,observed
70.83,0.7895957,A097,observed
144.85,0.086306766,A097,observed
1.0,0.6008492,A098,observed
25.77,0.3483601,A098,observed
78.84,1.1610224,A098,observed
146.29,-0.6924288,A098,observed
1.0,1.1219946,A099,observed
28.75,1.2483166,A099,observed
78.57,-0.21441267,A099,observed
143.51,0.8498486,A099,observed
1.0,-0.06985861,A100,observed
31.14,0.79101294,A100,observed
75.34,0.2661362,A100,observed
146.8,0.06164612,A100,observed
1.0,-1.0356112,A101,observed
29.12,-0.70036155,A101,observed
75.21,-1.5118189,A101,observed
150.22,-1.1640573,A101,observed
1.0,-0.044223346,A102,observed
29.13,1.0700971,A102,observed
75.27,-0.4782194,A102,observed
150.41,-0.5023084,A102,observed
1.0,1.7611793,A103,observed
27.26,-1.0142955,A103,observed
80.24,-1.7227138,A103,observed
149.72,-0.96813315,A103,observed
1.0,1.7474676,A104,observed
22.6,0.04523211,A104,observed
72.62,0.22338806,A104,observed
145.78,-1.7777252,A104,observed
1.0,0.61165696,A105,observed
22.77,0.47426346,A105,observed
69.46,-0.23769371,A105,observed
146.2,0.29649377,A105,observed
1.0,1.1972102,A106,observed
22.64,0.124567874,A106,observed
66.08,0.3480307,A106,observed
147.13,1.0106606,A106,observed
1.0,-0.71622896,A107,observed
26.22,-1.6166046,A107,observed
71.45,-1.0414004,A107,observed
145.95,-1.2497748,A107,observed
1.0,-0.4913459,A108,observed
27.61,-1.1094757,A108,observed
68.96,-0.358304,A108,observed
152.12,-1.1333818,A108,observed
1.0,-0.25337747,A109,observed
24.65,-1.0994496,A109,observed
71.17,-0.23198725,A109,observed
149.87,-1.2962439,A109,observed
1.0,0.6576491028998361,ALL,predicted
3.474747474747475,0.5787589260035106,ALL,predicted
5.94949494949495,0.5092355828288866,ALL,predicted
8.424242424242426,0.4473210492536348,ALL,predicted
10.8989898989899,0.39169094949927574,ALL,predicted
13.373737373737374,0.34132546230947036,ALL,predicted
15.84848484848485,0.2954244114876756,ALL,predicted
18.323232323232325,0.25334968285989246,ALL,predicted
20.7979797979798,0.21458512931034068,ALL,predicted
23.272727272727273,0.1787080035179962,ALL,predicted
25.747474747474747,0.1453681883985014,ALL,predicted
28.222222222222225,0.11427282373744885,ALL,predicted
30.6969696969697,0.0851747434985759,ALL,predicted
33.17171717171718,0.05786365334492283,ALL,predicted
35.64646464646465,0.03215931101101277,ALL,predicted
38.121212121212125,0.007906192343847707,ALL,predicted
40.5959595959596,-0.01503072573173947,ALL,predicted
43.07070707070707,-0.036769332188379966,ALL,predicted
45.54545454545455,-0.05741309460140931,ALL,predicted
48.02020202020202,-0.07705326304048765,ALL,predicted
50.494949494949495,-0.09577067446680121,ALL,predicted
52.969696969696976,-0.11363724067848624,ALL,predicted
55.44444444444445,-0.13071718351462813,ALL,predicted
57.919191919191924,-0.1470680666490365,ALL,predicted
60.3939393939394,-0.16274166250085864,ALL,predicted
62.86868686868687,-0.17778468459382535,ALL,predicted
65.34343434343435,-0.19223940942429385,ALL,predicted
67.81818181818183,-0.20614420705864833,ALL,predicted
70.2929292929293,-0.21953399591684208,ALL,predicted
72.76767676767678,-0.23244063425016126,ALL,predicted
75.24242424242425,-0.2448932584951018,ALL,predicted
77.71717171717172,-0.25691857683812347,ALL,predicted
80.1919191919192,-0.26854112485018167,ALL,predicted
82.66666666666667,-0.27978348886381554,ALL,predicted
85.14141414141415,-0.2906665018069803,ALL,predicted
87.61616161616162,-0.3012094154289686,ALL,predicted
90.0909090909091,-0.3114300522178284,ALL,predicted
92.56565656565657,-0.3213449397868906,ALL,predicted
95.04040404040404,-0.33096943007794755,ALL,predicted
97.51515151515152,-0.34031780537258793,ALL,predicted
99.98989898989899,-0.3494033728072272,ALL,predicted
102.46464646464648,-0.35823854884035233,ALL,predicted
104.93939393939395,-0.3668349349135376,ALL,predicted
107.41414141414143,-0.3752033853737642,ALL,predicted
109.8888888888889,-0.38335406857772303,ALL,predicted
112.36363636363637,-0.39129652197443754,ALL,predicted
114.83838383838385,-0.3990397018569305,ALL,predicted
117.31313131313132,-0.4065920283836555,ALL,predicted
119.7878787878788,-0.41396142639349787,ALL,predicted
122.26262626262627,-0.42115536247222796,ALL,predicted
124.73737373737374,-0.4281808786716146,ALL,predicted
127.21212121212122,-0.43504462323357873,ALL,predicted
129.6868686868687,-0.4417528786295657,ALL,predicted
132.16161616161617,-0.4483115871887624,ALL,predicted
134.63636363636365,-0.4547263745570458,ALL,predicted
137.11111111111111,-0.4610025712009249,ALL,predicted
139.5858585858586,-0.46714523214664205,ALL,predicted
142.06060606060606,-0.4731591551235249,ALL,predicted
144.53535353535355,-0.4790488972622332,ALL,predicted
147.010101010101,-0.484818790482334,ALL,predicted
149.4848484848485,-0.4904729556893862,ALL,predicted
151.95959595959596,-0.4960153158891575,ALL,predicted
154.43434343434345,-0.5014496083154987,ALL,predicted
156.9090909090909,-0.5067793956585918,ALL,predicted
159.3838383838384,-0.5120080764715922,ALL,predicted
161.85858585858588,-0.5171388948259641,ALL,predicted
164.33333333333334,-0.5221749492789487,ALL,predicted
166.80808080808083,-0.5271192012104878,ALL,predicted
169.2828282828283,-0.5319744825814756,ALL,predicted
171.75757575757578,-0.5367435031603394,ALL,predicted
174.23232323232324,-0.5414288572605902,ALL,predicted
176.70707070707073,-0.5460330300280805,ALL,predicted
179.1818181818182,-0.5505584033131999,ALL,predicted
181.65656565656568,-0.5550072611600935,ALL,predicted
184.13131313131314,-0.5593817949421497,ALL,predicted
186.60606060606062,-0.5636841081704599,ALL,predicted
189.08080808080808,-0.5679162209996388,ALL,predicted
191.55555555555557,-0.5720800744533242,ALL,predicted
194.03030303030303,-0.5761775343897888,ALL,predicted
196.50505050505052,-0.5802103952263952,ALL,predicted
198.97979797979798,-0.5841803834400823,ALL,predicted
201.45454545454547,-0.5880891608596689,ALL,predicted
203.92929292929296,-0.5919383277644893,ALL,predicted
206.40404040404042,-0.5957294258027174,ALL,predicted
208.8787878787879,-0.599463940741682,ALL,predicted
211.35353535353536,-0.6031433050615168,ALL,predicted
213.82828282828285,-0.6067689004026111,ALL,predicted
216.3030303030303,-0.6103420598765249,ALL,predicted
218.7777777777778,-0.6138640702493098,ALL,predicted
221.25252525252526,-0.6173361740054928,ALL,predicted
223.72727272727275,-0.6207595713003834,ALL,predicted
226.2020202020202,-0.6241354218077904,ALL,predicted
228.6767676767677,-0.6274648464697237,ALL,predicted
231.15151515151516,-0.6307489291541875,ALL,predicted
233.62626262626264,-0.6339887182267264,ALL,predicted
236.1010101010101,-0.6371852280409958,ALL,predicted
238.5757575757576,-0.6403394403532517,ALL,predicted
241.05050505050508,-0.643452305665323,ALL,predicted
243.52525252525254,-0.6465247445003064,ALL,predicted
246.0,-0.6495576486149492,ALL,predicted
