composite_ID,TC_IFR-N-i1,TC_IFR-N-i2,TC_IFR-N-i3,TC_IFR-N-i4,TC_IFR-N-i5,TC_IFR-N-i6,TC_IFR-U-i1,TC_IFR-U-i2,TC_IFR-U-i3,TC_IFR-U-i4,TC_IFR-U-i5,TC_IFR-U-i6,TC_IFR-D-i1,TC_IFR-D-i2,TC_IFR-D-i3,TC_IFR-D-i4,TC_IFR-D-i5,TC_IFR-D-i6,TC_IFR-O-i1,TC_IFR-O-i2,TC_IFR-O-i3,TC_IFR-O-i4,TC_IFR-O-i5,TC_IFR-O-i6,TC_ICR-N-i1,TC_ICR-N-i2,TC_ICR-N-i3,TC_ICR-N-i4,TC_ICR-N-i5,TC_ICR-N-i6,TC_ICR-U-i1,TC_ICR-U-i2,TC_ICR-U-i3,TC_ICR-U-i4,TC_ICR-U-i5,TC_ICR-U-i6,TC_ICR-D-i1,TC_ICR-D-i2,TC_ICR-D-i3,TC_ICR-D-i4,TC_ICR-D-i5,TC_ICR-D-i6,TC_ICR-O-i1,TC_ICR-O-i2,TC_ICR-O-i3,TC_ICR-O-i4,TC_ICR-O-i5,TC_ICR-O-i6,TC_IRE-N-i1,TC_IRE-N-i2,TC_IRE-N-i3,TC_IRE-N-i4,TC_IRE-N-i5,TC_IRE-N-i6,TC_IRE-U-i1,TC_IRE-U-i2,TC_IRE-U-i3,TC_IRE-U-i4,TC_IRE-U-i5,TC_IRE-U-i6,TC_IRE-D-i1,TC_IRE-D-i2,TC_IRE-D-i3,TC_IRE-D-i4,TC_IRE-D-i5,TC_IRE-D-i6,TC_IRE-O-i1,TC_IRE-O-i2,TC_IRE-O-i3,TC_IRE-O-i4,TC_IRE-O-i5,TC_IRE-O-i6
A044_T4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,2,3,3,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,4,3,2,3,3,3,1,1,1,1,2,1,2,1,1,1,1,1,1,0,1,0,1,0
A045_T1,0,1,0,4,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,4,4,1,4,0,0,0,4,0,4,0,0,4,4,0,2,0,0,0,0,0,0,4,4,4,4,4,4,2,4,2,4,2,4,2,2,4,4,4,2,0,0,0,2,2,3
A045_T2,4,0,4,4,0,0,4,0,2,1,0,0,1,0,2,4,0,0,2,0,0,0,0,0,4,2,4,4,0,2,4,1,1,1,0,0,1,2,4,4,0,0,2,0,0,0,0,0,4,4,4,4,4,4,4,1,1,1,0,1,0,2,4,3,2,2,1,1,1,0,0,0
A045_T3,0,0,4,4,1,3,2,1,0,0,0,4,3,3,2,1,0,4,3,0,0,0,0,0,4,4,4,0,4,0,4,4,1,0,1,0,2,0,1,0,4,1,1,0,0,0,0,0,4,4,4,2,4,1,4,4,1,2,4,0,4,4,4,0,1,0,1,0,1,0,0,0
A045_T4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,4,1,0,3,0,4,4,1,0,0,0,1,2,0,0,1,0,0,1,0,0,0,4,4,4,1,2,3,4,4,4,1,1,1,0,1,1,0,1,3,1,0,0,1,0,0
A046_T1,1,3,3,4,0,3,4,1,0,3,1,0,1,1,1,1,3,0,4,0,2,1,3,0,3,1,2,4,2,3,2,2,1,2,2,2,2,2,1,1,1,2,2,1,0,4,3,2,4,4,4,4,4,4,4,4,3,4,2,4,2,3,2,3,2,2,1,2,2,4,2,4
A046_T2,2,4,0,1,0,0,4,1,0,1,0,0,2,2,0,1,0,0,1,1,0,0,0,0,4,4,3,2,3,0,1,1,2,3,1,0,2,2,3,2,2,0,1,1,1,2,1,0,2,4,4,3,3,4,2,4,3,2,2,2,1,2,3,2,2,3,2,4,1,2,2,2
A046_T3,2,3,2,0,1,1,2,2,0,1,1,1,2,2,0,1,1,1,2,1,0,1,1,1,1,1,2,2,2,2,0,1,1,3,2,3,1,0,2,2,1,2,1,0,1,0,1,1,2,4,2,2,2,2,2,1,2,2,1,3,1,1,2,1,2,3,1,1,1,1,2,1
A046_T4,4,1,4,4,0,3,2,0,4,3,0,3,2,0,2,2,0,3,2,0,3,3,0,2,0,0,0,3,4,1,0,0,0,3,1,0,0,0,0,2,1,0,0,0,0,0,1,0,1,2,4,4,3,3,2,1,4,4,1,0,1,0,0,2,0,1,1,0,1,2,2,0
A047_T1,1,2,0,3,1,0,2,2,1,1,0,1,3,1,1,2,0,1,1,1,1,1,0,0,4,4,4,4,4,4,3,2,3,3,3,3,2,3,2,3,1,2,3,2,2,2,2,2,4,4,4,4,4,4,3,4,2,3,3,4,3,3,2,2,3,2,2,2,2,1,2,2
A047_T2,2,0,3,3,2,3,4,0,3,3,2,4,2,0,1,1,0,0,1,0,1,1,1,3,4,3,4,4,2,4,4,1,2,2,1,1,1,1,2,2,0,1,2,2,1,1,0,0,4,4,3,4,4,4,4,4,2,2,2,2,2,2,2,2,1,1,0,0,1,2,1,1
A047_T3,3,0,2,3,1,0,3,3,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,3,3,3,3,3,3,1,2,2,3,3,3,0,0,2,0,1,2,0,0,1,1,0,0,3,4,4,3,4,4,3,2,2,3,3,3,3,2,3,3,2,3,0,1,2,2,1,1
A047_T4,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,2,1,0,1,3,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,3,3,2,2,3,2,2,0,2,2,2,2,2,0,2,1,3,2,2,0,1,1,2,1
A048_T1,4,0,4,4,4,0,4,0,4,1,4,0,1,0,4,1,3,0,1,0,4,1,1,0,4,2,4,4,4,3,4,3,4,1,4,3,1,2,4,1,4,1,1,2,4,1,1,1,4,4,4,4,4,4,4,2,4,2,4,4,0,2,4,2,1,0,1,2,4,1,0,0
A048_T2,4,1,1,3,4,3,1,1,1,4,4,1,1,1,2,1,1,4,1,1,1,1,1,4,2,4,4,4,4,3,4,4,1,4,4,3,1,1,2,1,1,3,1,1,1,1,3,1,4,4,4,4,4,4,2,4,4,4,4,2,3,1,4,1,0,3,0,0,0,0,1,1
A048_T3,2,0,1,4,4,2,4,1,1,0,2,0,1,0,1,0,0,4,3,0,0,0,0,4,1,4,4,4,4,3,0,4,4,1,1,1,0,1,0,4,4,0,0,1,0,4,4,0,4,4,4,4,4,2,1,3,4,4,3,0,4,1,1,1,4,0,1,1,1,4,4,0
A048_T4,0,4,3,3,4,0,1,1,4,0,0,4,4,1,0,0,0,0,0,0,0,0,0,3,3,4,4,4,4,4,0,4,1,0,4,1,1,1,1,4,1,4,0,4,1,0,0,0,2,4,3,4,4,3,0,4,2,3,3,2,1,1,1,4,0,1,0,3,0,0,0,0
A049_T1,4,4,4,3,0,4,4,4,4,4,4,0,1,4,1,4,2,2,4,3,1,4,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,1,4,4,3,2,1,2,4,4,4,4,4,4,4,4,4,3,4,4,4,4,2,3,2,2,4,1,4,1,1,3
A049_T2,4,0,0,4,1,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,2,4,2,4,0,2,0,0,2,1,0,0,1,0,0,1,0,0,4,4,4,4,4,4,2,4,2,4,1,4,1,0,2,1,1,1,0,0,0,2,0,0
A049_T3,4,0,2,4,2,4,0,0,4,4,4,0,4,0,0,1,1,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,2,1,0,0,1,1,0,4,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,2,1,1,0,1,0,1,4,0,0,0,0,0,0
A049_T4,4,0,4,0,0,4,4,0,4,0,0,0,1,0,1,0,0,2,0,0,3,0,0,0,4,4,4,4,0,4,4,0,4,2,0,0,0,0,0,2,0,4,0,0,2,0,0,1,4,4,4,4,4,4,4,0,4,1,0,0,1,0,0,1,1,4,0,0,4,1,0,0
A050_T1,2,4,4,1,4,0,4,2,1,0,0,4,0,1,1,0,0,0,4,0,0,0,0,0,4,4,4,4,4,4,4,4,0,4,4,4,0,1,0,4,4,0,0,0,0,0,4,0,4,4,4,4,4,4,1,4,1,4,4,4,1,1,1,2,4,2,0,0,0,0,4,0
A050_T2,0,0,4,4,0,0,0,4,4,0,4,0,2,4,0,0,0,0,0,0,0,0,0,0,4,4,4,0,4,4,4,1,4,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,2,4,4,0,4,4,4,0,0,0,0,4,0,0,0,0,0,0
A050_T3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,4,0,0,0,0,0,0,1,1,0,0,0,4,0,0,0,0,0,0,0,4,2,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A050_T4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A051_T1,0,0,4,4,4,0,1,0,4,3,4,0,2,3,1,2,4,3,3,3,4,1,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,3,3,4,1,2,1,4,4,4,4,4,4,4,3,4,3,4,2,4,4,4,0,4,4,3,3,4,0,3,1
A051_T2,4,4,1,0,4,4,4,1,4,2,4,0,4,3,2,4,3,0,4,2,2,2,1,0,2,4,4,4,4,4,2,4,4,3,4,4,4,4,2,2,2,4,2,3,2,2,2,3,4,4,4,4,4,4,4,4,4,2,4,4,4,4,3,2,1,3,2,4,3,2,2,1
A051_T3,0,0,4,0,0,0,2,0,0,0,0,0,4,0,3,2,0,0,2,0,1,0,0,0,1,4,4,4,4,4,0,4,2,4,1,4,0,1,4,1,2,4,0,1,2,1,1,3,4,4,4,4,4,4,1,3,2,4,1,4,1,0,4,1,2,1,1,0,3,1,1,2
A051_T4,4,0,0,0,0,0,1,1,0,0,0,0,4,3,0,0,0,0,1,0,0,0,0,0,4,4,4,4,3,4,2,4,3,2,1,2,4,1,3,1,0,2,2,0,2,1,0,1,4,4,4,4,4,4,4,4,4,3,1,3,4,2,2,1,2,1,1,1,2,2,3,1
A052_T1,4,4,4,0,2,3,4,4,2,4,0,0,1,2,3,1,0,0,1,3,4,1,0,0,4,4,4,4,4,4,2,4,4,3,3,4,3,2,2,1,1,1,2,2,3,3,1,2,4,4,4,4,4,2,3,4,4,0,4,4,3,3,2,3,2,2,4,2,3,1,2,2
A052_T2,2,2,2,4,4,4,2,3,4,0,1,4,4,0,3,1,2,0,0,0,0,0,0,0,4,4,2,4,4,4,1,3,0,2,3,4,0,3,0,0,4,3,0,2,0,1,1,1,4,4,4,4,4,4,3,3,0,3,3,4,1,3,0,1,4,3,0,0,0,3,0,0
A052_T3,3,1,0,4,3,2,4,1,3,3,0,0,2,3,0,1,0,0,1,0,0,0,0,0,2,0,3,4,4,4,2,2,1,4,4,3,1,0,2,1,2,2,0,0,0,0,0,0,4,4,3,4,4,4,3,1,1,4,4,3,1,0,0,1,1,1,0,0,0,1,1,0
A052_T4,4,4,4,0,0,0,4,1,0,0,0,0,0,4,4,0,1,0,0,1,2,0,0,0,4,4,1,2,2,1,4,3,0,1,0,0,1,4,0,0,0,0,0,1,0,0,0,0,4,4,3,4,3,4,4,4,3,2,0,2,0,4,4,2,1,0,2,1,2,2,0,0
A053_T1,4,4,4,0,2,3,4,0,4,2,3,0,0,3,0,0,2,4,0,2,4,0,0,0,4,4,4,4,4,4,4,4,4,4,4,2,0,3,1,2,2,0,1,2,4,0,1,1,4,4,4,4,4,4,4,4,4,2,4,2,0,2,1,1,3,3,1,2,4,1,1,1
A053_T2,0,1,1,4,0,0,1,1,1,0,0,0,2,1,1,0,0,0,1,1,2,0,0,0,1,1,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,2,2,1,2,1,2,1,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
A053_T3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A053_T4,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,2,4,4,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1
A054_T1,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,3,0,1,4,1,1,1,4,4,4,4,4,4,3,4,4,4,4,4,1,4,4,3,0,4,1,1,2,4,0,2,4,4,4,4,4,4,4,4,4,4,4,4,2,4,3,4,2,4,2,1,2,4,1,3
A054_T2,3,4,4,4,0,0,4,2,4,2,0,0,1,4,3,1,0,0,1,1,1,1,0,0,4,4,4,4,4,4,4,4,4,4,4,4,2,3,3,3,0,2,1,1,2,1,3,0,4,4,4,4,4,4,4,4,4,4,4,4,2,3,1,2,2,4,0,1,1,1,4,0
A054_T3,0,4,4,4,2,4,4,4,4,4,4,0,2,1,1,2,0,0,1,1,1,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,0,1,0,2,1,0,0,0,4,4,4,3,4,4,4,4,4,4,4,4,2,3,2,2,0,2,0,4,2,1,0,0
A054_T4,4,4,4,4,4,0,4,4,4,4,4,0,2,4,1,2,1,1,1,3,4,1,1,0,4,4,4,4,4,1,4,4,4,4,4,1,1,4,1,3,1,1,0,0,4,0,1,0,4,4,3,4,4,3,4,4,4,4,4,3,1,4,2,3,0,2,0,1,4,1,0,0
A055_T1,0,0,0,4,4,0,4,0,0,0,4,0,2,0,0,1,4,0,4,0,0,0,2,0,4,4,4,4,4,4,1,4,3,4,4,4,3,1,2,4,2,2,0,0,2,3,4,2,4,4,4,4,4,4,4,4,3,4,4,3,4,3,2,4,1,0,1,2,1,1,4,1
A055_T2,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,4,4,4,3,4,4,3,4,2,1,3,3,2,1,1,0,1,0,0,0,0,0,2,2,4,4,4,4,4,3,2,4,2,0,3,4,1,1,0,1,1,1,1,1,0,0,3,0
A055_T3,0,4,1,3,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,2,4,4,4,4,4,0,1,2,3,0,0,1,1,1,1,1,1,0,0,0,0,0,0,4,4,2,4,4,4,0,1,1,4,1,1,2,1,1,1,1,2,0,1,1,1,0,0
A055_T4,1,2,0,2,2,4,0,0,0,1,1,0,0,0,0,2,2,2,0,0,0,0,0,1,1,4,4,4,4,4,0,0,0,0,0,0,0,0,0,1,3,2,1,0,1,0,1,2,4,4,4,3,2,2,1,0,0,0,0,1,1,0,0,2,3,3,0,0,0,1,1,1
A056_T1,4,4,4,0,4,4,4,1,4,0,4,3,1,1,4,1,1,0,1,0,2,0,0,0,4,2,4,1,4,1,4,1,4,1,4,2,1,1,4,1,1,1,1,1,2,0,1,0,4,2,4,3,3,4,4,2,4,2,4,2,2,1,3,1,1,2,1,0,3,1,1,1
A056_T2,3,0,0,1,3,1,2,1,2,1,1,0,1,1,2,0,1,0,0,0,0,0,0,0,4,3,2,4,4,3,1,1,1,1,1,4,1,1,1,1,1,0,0,0,0,0,0,0,4,4,3,4,4,4,1,1,0,2,0,4,1,0,0,2,0,0,0,0,0,1,0,0
A056_T3,4,0,4,0,0,0,2,1,1,0,0,0,2,4,2,0,0,0,1,2,1,0,0,0,4,1,4,4,4,4,2,1,1,2,1,0,1,1,4,2,0,1,0,0,2,0,0,0,4,4,4,4,4,4,2,2,2,2,2,1,3,2,3,0,2,1,1,1,2,1,0,0
A056_T4,0,1,0,4,0,0,2,2,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,4,2,4,4,4,4,0,1,1,2,1,1,0,1,1,2,1,0,1,0,0,1,0,0,4,3,3,2,4,4,0,0,2,3,0,2,0,0,1,1,0,1,0,0,0,0,0,0
A057_T1,0,4,4,0,0,4,4,4,0,4,0,0,0,1,0,1,0,0,1,3,0,1,0,0,4,4,4,4,4,4,4,4,4,3,1,4,2,1,1,1,0,0,3,1,1,1,0,0,4,4,4,4,4,4,3,4,4,4,4,4,1,1,1,2,2,1,1,0,2,3,2,1
A057_T2,4,4,4,4,3,4,4,4,1,1,2,2,1,1,3,4,3,0,1,0,0,0,0,2,4,4,4,4,4,4,0,1,0,1,1,1,4,3,4,0,0,1,0,0,2,0,0,3,4,4,4,4,4,4,2,2,1,0,0,4,0,0,0,0,2,1,0,0,0,0,0,3
A057_T3,0,3,4,0,2,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,4,4,4,4,4,4,0,1,4,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,4,4,4,4,2,4,2,0,4,0,1,0,0,2,1,1,0,0,0,0,3,0,0,0
A057_T4,0,0,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A058_T1,4,0,4,4,4,4,4,0,4,2,4,0,2,0,4,2,1,0,0,1,4,0,0,0,4,4,4,4,4,4,4,3,4,4,4,0,0,2,4,2,1,0,0,0,4,0,0,0,4,2,4,4,4,4,4,2,4,4,4,1,0,1,4,1,4,1,0,0,4,0,0,0
A058_T2,0,4,4,4,4,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,4,2,4,4,4,4,0,0,4,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,1,4,4,4,4,4,0,0,4,2,0,0,0,0,4,0,4,0,0,0,0,0,0,0
A058_T3,0,4,0,0,0,4,4,4,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,2,4,4,1,2,1,0,4,1,1,1,4,0,2,0,0,0,4,0,0,0,0,0,1,2,4,4,4,4,4,0,4,0,0,1,4,0,4,0,0,1,4,0,1,0,0,0,0
A058_T4,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,1,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,0,0,1,0,1,4,2,1,0,0,0,0,0,0,0,0,0,0
A059_T1,4,1,4,4,1,0,4,4,2,1,1,4,1,3,1,1,1,0,3,0,0,0,0,1,4,2,3,4,3,4,4,3,2,4,0,4,3,1,2,0,1,2,1,1,0,4,0,1,4,4,4,4,4,4,4,2,2,4,0,4,3,2,2,0,2,3,1,0,0,4,0,1
A059_T2,4,4,0,4,4,0,4,0,4,4,1,2,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,4,4,2,1,0,3,4,3,0,0,0,0,0,0,3,0,0,0,0,0,4,4,4,4,4,4,1,4,0,4,4,3,0,0,0,0,0,0,4,0,0,0,1,0
A059_T3,4,1,4,0,0,4,4,1,4,0,0,0,0,0,0,0,4,2,1,0,0,0,1,0,4,3,4,4,2,4,4,2,4,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,4,3,1,4,0,1,4,2,4,0,0,1,0,0,0,0,0,3,0,0,0,0,4,0
A059_T4,0,3,4,4,4,0,4,3,4,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,1,4,4,4,4,0,0,4,4,4,4,0,2,0,1,0,0,0,1,1,1,1,0,0,1,3,2,1,4,0,0,4,4,4,4,0,1,0,1,0,0,0,1,1,1,1,1,0
A060_T1,4,0,3,3,4,4,3,2,3,4,3,0,3,3,3,4,3,0,3,3,3,4,3,0,3,4,4,3,4,3,2,3,2,3,3,3,1,2,2,3,3,2,1,2,2,2,3,2,4,4,4,4,4,4,2,4,3,4,3,2,3,4,3,4,4,3,2,3,3,4,4,1
A060_T2,4,4,0,1,3,2,4,4,2,1,2,0,3,4,1,1,0,0,1,2,0,1,0,0,4,4,4,4,4,4,4,3,4,4,3,2,4,3,4,3,3,2,0,0,2,2,2,2,4,4,4,4,4,4,4,4,4,4,3,4,4,2,4,2,3,1,0,1,1,1,0,0
A060_T3,1,4,4,4,0,0,4,4,1,0,0,4,4,4,1,0,0,4,0,3,1,0,0,0,2,4,4,4,4,4,1,4,3,4,3,2,2,4,2,3,3,4,0,1,0,4,0,0,3,4,4,4,4,4,2,4,4,4,4,3,3,3,4,4,1,4,0,2,0,0,0,0
A060_T4,4,0,4,0,4,4,4,4,4,0,4,4,4,4,3,0,4,4,0,0,0,0,0,0,4,0,4,4,4,4,4,0,4,4,4,3,4,2,4,4,4,4,0,0,0,0,0,0,4,4,4,4,4,4,4,2,4,3,4,3,4,2,4,2,3,4,0,0,0,1,0,2
