UID,random_intercept,random_slope
A010,0.08681704074764081,-0.031836628198614554
A011,0.6717970398244876,-0.24742088015007987
A012,0.39001041297448874,-0.14406437582444398
A013,-0.2937398037936691,0.10818087148207431
A014,1.017074725711955,-0.37585645572226867
A015,0.571318190653602,-0.21086692940879065
A016,0.07712064526756299,-0.028614000847855682
A017,1.5304554797414083,-0.5664591478071604
A018,-0.6438023507442255,0.23818936344083605
A019,-0.29729418774809596,0.10917851632418485
A020,-0.32205253118746935,0.11901794356473412
A021,0.7793096784034509,-0.28807766015246555
A022,-1.4875134427026282,0.5491596804869521
A023,0.6680925372493143,-0.24735446717723952
A024,0.24029455933548705,-0.08923594633808339
A025,-0.33865588777104405,0.12555429845947316
A026,0.3962114697457913,-0.14697978415059762
A027,0.050028980604987824,-0.018117834418486616
A028,0.2566596185866879,-0.0944683565639314
A029,0.9377927984651993,-0.3464440583033083
A030,0.15507586154329966,-0.05800482167028126
A031,0.27652899173654444,-0.10087301156315627
A032,-0.048503569779099254,0.01750379150444082
A033,0.20410645291732876,-0.07555479487542142
A034,1.3113628203325152,-0.48439220906083413
A035,0.2734773630198985,-0.10119622659362061
A036,-1.272977588917239,0.4698462734699908
A037,-0.06998969332594851,0.026249940792390233
A038,0.8911949333329228,-0.32960120522863273
A039,1.2088841256887848,-0.4461986577147862
A040,-0.8547844244082917,0.3160307458174754
A041,0.31495399480546016,-0.11617826552579219
A042,-0.6437294818617781,0.23739589253235652
A043,1.4772747752071773,-0.5455356307299357
A044,-1.0100504192789899,0.3728666176333913
A045,-0.36801666593441124,0.13535880441711495
A046,0.03884943117948257,-0.014434646861974283
A047,-0.15946713541536284,0.05872097920228287
A048,0.11850725935331508,-0.04389043758134352
A049,0.19880563357262784,-0.07268115281595253
A050,-0.9323832556900981,0.3446980219367318
A051,0.7949950422624456,-0.2933420133616603
A052,0.2507095038612264,-0.09255073340781356
A053,-0.10214869248973,0.03794378881180737
A054,0.919428214626461,-0.33957038883304125
A055,-0.1888845762853467,0.07019733595741923
A056,-0.09028257464361643,0.033042562058948656
A057,-0.4729559206910422,0.1752517096366457
A058,-0.8738153135357916,0.32365720523641117
A059,-0.2680937210433646,0.09893112438411747
A060,0.9501626959020393,-0.35150587214924894
A061,1.5983522960605188,-0.5895498958046127
A062,-0.36962627095771144,0.13706628874273233
A063,-0.9005384050793551,0.3326003732304767
A064,0.2358024828088124,-0.08707202640868446
A065,-1.06845644882551,0.3949145207899678
A066,-0.36954636292283866,0.13664968483481096
A067,-1.1751903814434104,0.4348985767356024
A068,0.9894441767434068,-0.36482061119022513
A069,-0.9635829343582949,0.35650694018383705
A070,-0.9445467225696594,0.34947231844532095
A071,0.042020274364899766,-0.014767621862347247
A072,0.5071450891180148,-0.18740527232105286
A073,-0.2205970224451779,0.08092419419406821
A074,-0.4550767471471085,0.16826750988230596
A075,-0.630641233971755,0.2331047804941148
A076,-0.9181390702590244,0.3390809104687475
A077,0.19716212259898294,-0.0726252374824645
A078,-1.2679697078343592,0.4679202621665169
A079,-0.18165757663426008,0.06693281308160781
A080,0.33927075107414123,-0.1252293144975457
A081,0.7895984362741696,-0.291915458631177
A082,-0.28962110293791365,0.10669557500250265
A083,0.6292730970547472,-0.23251467468211856
A084,-0.9394488595442407,0.3467817060648059
A085,0.471447539398418,-0.17449762567602214
A086,0.39430378564631874,-0.1454395353795181
A087,0.5630948200985956,-0.20773368427019898
A088,0.30946096889632796,-0.11518701091418407
A089,0.5320165183774631,-0.19640718487971243
A090,-1.0836674498077372,0.39995663946115534
A091,0.20305548436898882,-0.07491694414850027
A092,-0.1475026049368251,0.05409818972437914
A093,0.38417547964834625,-0.1413023972355875
A094,-0.7401119721451571,0.27323388456076864
A095,0.06992656719585977,-0.025504246970783625
A096,0.7622449860933141,-0.28180988251621525
A097,-0.7337874692779591,0.2705991682586827
A098,0.5127677496246477,-0.18993096270543758
A099,1.1505064478833085,-0.42528992515700637
A100,0.5746388718917198,-0.212647626554243
A101,-1.1772420814523,0.435008780391563
A102,0.08180947800698236,-0.03025140000413226
A103,-2.4401116271506185,0.90120860814904
A104,-0.008840065831203066,0.004330738515296544
A105,0.94788617303847,-0.34972261586234593
A106,0.300355282859793,-0.11107037607490616
A107,-1.2920035999616533,0.4760102871649735
A108,-0.8141257648929068,0.30046198651685285
A109,0.2281135638541333,-0.084782079943974
