,Age_c,RAVLT_c,BVMT_c,NART_c,RPM_c,RAVLT_Pct_Ret_c,BVMT_Pct_Ret_c,Age_c_x_RAVLT_c,Age_c_x_BVMT_c,Age_c_x_NART_c,Age_c_x_RPM_c,Age_c_x_RAVLT_Pct_Ret_c,Age_c_x_BVMT_Pct_Ret_c
Age_c,1.0,-0.18798371102785202,-0.5454815482953167,0.3170562407115059,-0.293363950323408,-0.18816886156122867,-0.2184799343338785,-0.09781025816931929,-0.08222585085150731,0.13431430105591166,-0.036160830458269955,-0.14891148311377267,-0.14236722140328256
RAVLT_c,-0.18798371102785202,1.0,0.3807333432863998,0.25305449604262487,0.2821181797869116,0.1940164602125789,0.0441382785420241,0.1874061212028698,0.1533905380457752,0.014666684571203601,0.11486626037276684,0.018627334774774216,0.13576838177411038
BVMT_c,-0.5454815482953167,0.3807333432863998,1.0,-0.03379299906377969,0.4881396791745485,0.26962237298294606,0.23775169268872845,0.154807662570012,0.37779617497598855,-0.038043849080354054,0.138387733027071,0.21156304194638081,0.23640823324891685
NART_c,0.3170562407115059,0.25305449604262487,-0.03379299906377969,1.0,0.08017705932293931,-0.05945172005467196,0.0033923610746316823,0.012769319077601591,-0.03457172756930168,0.011651506700557377,0.02310414213574581,-0.006015290089962433,0.005687499088009291
RPM_c,-0.293363950323408,0.2821181797869116,0.4881396791745485,0.08017705932293931,1.0,0.34152709131688486,0.16893037177641282,0.09906338505025017,0.11825632930735801,0.020621931982399862,0.0946685120139437,0.17891666058864597,0.11892365891624505
RAVLT_Pct_Ret_c,-0.18816886156122867,0.1940164602125789,0.26962237298294606,-0.05945172005467196,0.34152709131688486,1.0,0.11401394970530172,0.017817435410263566,0.2005120114284232,-0.011895717376371476,0.19843787840840296,0.07428581263279586,0.06107450337678702
BVMT_Pct_Ret_c,-0.2184799343338785,0.0441382785420241,0.23775169268872845,0.0033923610746316823,0.16893037177641282,0.11401394970530172,1.0,0.15859699192355128,0.27363082453616006,0.010770234328364306,0.16108083979444943,0.07458676568578577,0.5484192828765407
Age_c_x_RAVLT_c,-0.09781025816931929,0.1874061212028698,0.154807662570012,0.012769319077601591,0.09906338505025017,0.017817435410263566,0.15859699192355128,1.0,0.36749143157342495,0.23973848945357865,0.21093649447737325,0.11048689894561745,0.03150972102504854
Age_c_x_BVMT_c,-0.08222585085150731,0.1533905380457752,0.37779617497598855,-0.03457172756930168,0.11825632930735801,0.2005120114284232,0.27363082453616006,0.36749143157342495,1.0,-0.00336998161875869,0.44448617801947343,0.18915732404953692,0.28163155642399473
Age_c_x_NART_c,0.13431430105591166,0.014666684571203601,-0.038043849080354054,0.011651506700557377,0.020621931982399862,-0.011895717376371476,0.010770234328364306,0.23973848945357865,-0.00336998161875869,1.0,0.06333556484012093,0.09388566277993572,0.037397978098409335
Age_c_x_RPM_c,-0.036160830458269955,0.11486626037276684,0.138387733027071,0.02310414213574581,0.0946685120139437,0.19843787840840296,0.16108083979444943,0.21093649447737325,0.44448617801947343,0.06333556484012093,1.0,0.3661406651294316,0.1587410346678663
Age_c_x_RAVLT_Pct_Ret_c,-0.14891148311377267,0.018627334774774216,0.21156304194638081,-0.006015290089962433,0.17891666058864597,0.07428581263279586,0.07458676568578577,0.11048689894561745,0.18915732404953692,0.09388566277993572,0.3661406651294316,1.0,0.09266674664114431
Age_c_x_BVMT_Pct_Ret_c,-0.14236722140328256,0.13576838177411038,0.23640823324891685,0.005687499088009291,0.11892365891624505,0.06107450337678702,0.5484192828765407,0.03150972102504854,0.28163155642399473,0.037397978098409335,0.1587410346678663,0.09266674664114431,1.0
