Term,Coef,Std_Err,z,P_value,CI_lower,CI_upper
Intercept,0.612,0.081,7.557,0.0,0.453,0.771
"C(Segment, Treatment('Early'))[T.Late]",-0.8,0.081,-9.906,0.0,-0.959,-0.642
"C(domain, Treatment('what'))[T.where]",0.053,0.072,0.73,0.465,-0.089,0.194
"C(Segment, Treatment('Early'))[T.Late]:C(domain, Treatment('what'))[T.where]",-0.001,0.113,-0.006,0.995,-0.222,0.221
Days_within,-0.456,0.059,-7.693,0.0,-0.573,-0.34
"Days_within:C(Segment, Treatment('Early'))[T.Late]",0.385,0.063,6.153,0.0,0.263,0.508
"Days_within:C(domain, Treatment('what'))[T.where]",0.023,0.081,0.286,0.775,-0.136,0.183
"Days_within:C(Segment, Treatment('Early'))[T.Late]:C(domain, Treatment('what'))[T.where]",-0.037,0.087,-0.425,0.671,-0.208,0.134
Group Var,0.394,0.137,,,,
Group x Days_within Cov,-0.01,0.023,,,,
Days_within Var,0.012,0.009,,,,
