UID,cluster,cluster_label,point_type,Total_Intercept_What_z,Total_Intercept_Where_z,Total_Slope_What_z,Total_Slope_Where_z
A010,3,"High Baseline, Stable What / Improving Where",participant,1.1350187452262448,1.1422979953260348,0.1216273968918515,1.602099739150303
A011,1,"Average Baseline, Improving",participant,0.2431470404778594,-0.0301358658694187,0.8815682810424691,0.5064092846622267
A012,0,"Average Baseline, Fast Decline",participant,0.5561415909965831,0.7037657703078211,-0.2063459745826958,-0.3352186360610846
A013,0,"Average Baseline, Fast Decline",participant,-0.1116071526490196,-0.3091413318923317,-0.8489227961364026,-1.2528919344443747
A014,3,"High Baseline, Stable What / Improving Where",participant,1.1189279566628665,0.6993876411864013,0.1701743930358857,0.7762416080004387
A015,3,"High Baseline, Stable What / Improving Where",participant,2.271937814944548,2.247105390694593,-0.8683971306475896,0.1771615939371285
A016,1,"Average Baseline, Improving",participant,-0.1581802063745728,0.2976743254793985,0.9972260001200566,1.4540110065264318
A017,0,"Average Baseline, Fast Decline",participant,0.6272685838752478,0.3130326527856666,-1.9719848102816455,-0.8995428980304855
A018,0,"Average Baseline, Fast Decline",participant,-0.2336047727936248,-0.1456302982339828,-0.4588272448590361,-0.528896895636609
A019,2,"Low Baseline, Improving What / Fast Decline Where",participant,-1.3104225572278754,-1.9788958910887129,0.6237040347233219,-0.4772962049787564
A020,1,"Average Baseline, Improving",participant,-1.322137262659935,-1.3207224360850618,1.388696916655847,0.646551446833698
A021,0,"Average Baseline, Fast Decline",participant,1.2062512183241243,1.098994228748266,-1.074701561496151,-0.3515941866654418
A022,0,"Average Baseline, Fast Decline",participant,0.0618932777060572,0.16814370531817,-1.34136161497522,-1.2279635896287944
A023,0,"Average Baseline, Fast Decline",participant,0.1659740608881048,0.1139862526774034,-0.7707346343857427,-0.3681411555663347
A024,0,"Average Baseline, Fast Decline",participant,0.0310730476164654,-0.0411297079740075,-0.9792699433793248,-0.177220352309748
A025,1,"Average Baseline, Improving",participant,0.1712830631501489,0.6550487713729959,1.7371803537386352,1.3530174978225291
A026,0,"Average Baseline, Fast Decline",participant,0.4796031612398665,0.5908882027865948,-0.5564377610718967,-0.0660017985066182
A027,1,"Average Baseline, Improving",participant,-0.2484969514786302,-0.1174751380159795,1.068442795613075,0.7594419573632638
A028,1,"Average Baseline, Improving",participant,0.26180687049953,-0.0583384613046345,0.8908909082654338,1.405033176384979
A029,0,"Average Baseline, Fast Decline",participant,1.5191440764438853,1.676271460912941,-1.6343262027632497,-0.0954033953366669
A030,0,"Average Baseline, Fast Decline",participant,0.4373239157072393,0.7221335031785406,-0.859377276962019,-1.1982637839541683
A031,1,"Average Baseline, Improving",participant,0.52288654866049,0.5173264489720296,1.2873418820025728,2.140746438932604
A032,0,"Average Baseline, Fast Decline",participant,1.343978250693051,1.1323636843495712,-1.942423460418095,-1.561209231404162
A033,0,"Average Baseline, Fast Decline",participant,0.656068529316629,0.330964441790858,-1.3964153844405525,-0.738505842369335
A034,3,"High Baseline, Stable What / Improving Where",participant,0.7056603577810077,0.8421697158226753,0.5719645913264924,1.2167605502105583
