UID,domain,Total_Intercept,Total_Slope,intercept_se,slope_se
A010,What,0.619243677873077,-0.0063079364921099345,0.5745652086190226,0.051078758170545885
A011,What,0.19465956293831463,-0.013268721365988284,0.5745652086190226,0.051078758170545885
A012,What,0.2755217295906475,-0.0012813180013269167,0.5745652086190226,0.051078758170545885
A013,What,-0.11959935492733187,0.013062867104659773,0.5745652086190226,0.051078758170545885
A014,What,0.5889010951783664,0.0016762518770699769,0.5745652086190226,0.051078758170545885
A015,What,1.1301752837502286,0.013314479404602852,0.5745652086190226,0.051078758170545885
A016,What,-0.008574366948032186,-0.01632305529644349,0.5745652086190226,0.051078758170545885
A017,What,0.17956312312221254,0.034717681469175,0.5745652086190226,0.051078758170545885
A018,What,-0.15800644884086065,0.006382592647553785,0.5745652086190226,0.051078758170545885
A019,What,-0.6420285898019131,-0.009676390433762078,0.5745652086190226,0.051078758170545885
A020,What,-0.5979175634224372,-0.018320440781007075,0.5745652086190226,0.051078758170545885
A021,What,0.5572780822765694,0.015387624049578151,0.5745652086190226,0.051078758170545885
A022,What,-0.06499134924373151,0.021384194472808815,0.5745652086190226,0.051078758170545885
A023,What,0.03999704265450418,0.009640103892952761,0.5745652086190226,0.051078758170545885
A024,What,-0.060367535427035206,0.015462435315578973,0.5745652086190226,0.051078758170545885
A025,What,0.20680260530253625,-0.021384833835397514,0.5745652086190226,0.051078758170545885
A026,What,0.21684281050476928,0.006913850280653307,0.5745652086190226,0.051078758170545885
A027,What,-0.05338066361564759,-0.015236132186700082,0.5745652086190226,0.051078758170545885
A028,What,0.2119310684404307,-0.015051533692128393,0.5745652086190226,0.051078758170545885
A029,What,0.6896263838560582,0.019499530772638298,0.5745652086190226,0.051078758170545885
A030,What,0.1586892641685653,0.015334737029355608,0.5745652086190226,0.051078758170545885
A031,What,0.3825945462832601,-0.02401709959973404,0.5745652086190226,0.051078758170545885
A032,What,0.5575243141461902,0.0273092595794308,0.5745652086190226,0.051078758170545885
A033,What,0.2390175461321973,0.02161061017730148,0.5745652086190226,0.051078758170545885
A034,What,0.42109855508928506,-0.011057586563600931,0.5745652086190226,0.051078758170545885
A035,What,-0.08637780493221424,0.010075195880596412,0.5745652086190226,0.051078758170545885
A036,What,0.031852550192350594,-0.010008435175167536,0.5745652086190226,0.051078758170545885
A037,What,0.47102819784536304,-0.0031523983191884125,0.5745652086190226,0.051078758170545885
A038,What,0.42833349823438177,0.004132633526269016,0.5745652086190226,0.051078758170545885
A039,What,0.879072369720406,-0.003923490902693287,0.5745652086190226,0.051078758170545885
A040,What,-0.6818209693786844,-0.013774529153571212,0.5745652086190226,0.051078758170545885
A041,What,0.08663153043835146,-0.004670456886485565,0.5745652086190226,0.051078758170545885
A042,What,-0.5155038783609862,0.01819197695326538,0.5745652086190226,0.051078758170545885
A043,What,0.2824285076037739,0.008785035431816975,0.5745652086190226,0.051078758170545885
A044,What,-0.5489226749892614,-0.00895670527922808,0.5745652086190226,0.051078758170545885
