UID,congruence,intercept_avg,slope_avg
A010,common,0.191579351365363,-0.042152585544633706
A011,common,0.028991397075158323,-0.03901023409665415
A012,common,0.09024917909984466,0.11550165715351855
A013,common,-0.33045366970903634,0.02539076132365975
A014,common,0.16094187753385608,0.0208452916459075
A015,common,0.5069851264319307,0.05249044995042093
A016,common,0.23774940494021266,-0.03446386661698984
A017,common,0.08989268530261155,0.10109922757606865
A018,common,0.0721548505693887,0.0033649207195318776
A019,common,-0.399941178797065,-0.012781290072120876
A020,common,-0.0754332785686509,-0.09962457948163339
A021,common,0.2832428487452222,0.11961789066585621
A022,common,-0.04099268441335496,0.1054271740003421
A023,common,0.11895637712637315,0.08413716790152434
A024,common,-0.0014211818764681935,-0.016786457755818555
A025,common,0.3141555861985671,-0.025496166994823377
A026,common,-0.01714379680278395,0.03617803199375502
A027,common,-0.034501048767633886,-0.0027147132139439226
A028,common,0.10341675323069974,-0.0696337474824076
A029,common,0.5358704112810339,0.08890220899314961
A030,common,0.15901730877038928,0.08818559718706602
A031,common,0.23213517860543637,-0.045652068807397236
A032,common,0.28255953588993055,0.1612740947204005
A033,common,-0.12125376618386033,0.08144208454315618
A034,common,0.3165772848658938,0.009297383878854428
A035,common,-0.16679670077811848,0.010743093430176705
A036,common,-0.10216027259481886,-0.0642384723237664
A037,common,0.40127689486999946,0.029394102502469106
A038,common,0.3571826677527509,0.10120800311217876
A039,common,0.5466263285598717,0.046240662388552886
A040,common,-0.5872045274641069,-0.025885888349486505
A041,common,0.007090362614983162,-0.010916066374090809
A042,common,-0.41364373997428133,-0.055655310138638676
A043,common,0.16112393485987153,0.02526372326691546
A044,common,-0.19839675975127252,-0.057499323175177544
A045,common,-0.20415122112562714,0.028943273149799918
A046,common,-0.7041517734483485,-0.14526250621624678
A047,common,-0.2689729682861131,-0.10571297637761053
A048,common,0.07601426890803606,0.050091988054238985
A049,common,0.3075901294345681,0.07781901314334104
A050,common,-0.3149326119496567,-0.02036149783586665
A051,common,-0.0358222461368832,-0.011816539132800586
A052,common,0.0485588688839959,0.026953710722728286
A053,common,0.19296432130570051,-0.025052231956922168
A054,common,0.28872262471541826,0.163615030903142
A055,common,-0.36293006814352674,-0.06836909357025313
A056,common,-0.0737891785260312,-0.05991341517527464
A057,common,-0.4960304244742231,-0.10394419906839117
A058,common,-0.12037025023337644,-0.0630792673512708
