UID,slope_what,slope_where
A010,-0.0063079364921099,-0.0352786741118318
A011,-0.0132687213659882,-0.0111706209124523
A012,-0.0012813180013269,0.0003187783686122
A013,0.0130628671046597,0.0214832166995516
A014,0.0016762518770699,-0.0077822712432721
A015,0.0133144794046028,0.0018903690690819
A016,-0.0163230552964434,-0.0275594876326004
A017,0.034717681469175,0.0227365775049578
A018,0.0063825926475537,0.0105248510585747
A019,-0.009676390433762,0.0073055666108612
A020,-0.018320440781007,-0.0108600422116585
A021,0.0153876240495781,0.0069793627345475
A022,0.0213841944728088,0.0266411325165138
A023,0.0096401038929527,0.0037430199550818
A024,0.0154624353155789,0.0040513449414251
A025,-0.0213848338353975,-0.0186229735604514
A026,0.0069138502806533,0.0002473894465194
A027,-0.0152361321867,-0.0141289907120337
A028,-0.0150515336921283,-0.031748066067272
A029,0.0194995307726382,-0.0006930641352721
A030,0.0153347370293556,0.0282807242647086
A031,-0.024017099599734,-0.0441847502707111
A032,0.0273092595794308,0.0301349022056322
A033,0.0216106101773014,0.017501192432937
A034,-0.0110575865636009,-0.0229271158938387
A035,0.0100751958805964,0.0145804346985089
A036,-0.0100084351751675,-0.0282744404251858
A037,-0.0031523983191884,-0.0110318298530535
A038,0.004132633526269,-0.0017063520799367
A039,-0.0039234909026932,-0.0165818792096458
A040,-0.0137745291535712,0.0024353290421998
A041,-0.0046704568864855,-0.0039565541706512
A042,0.0181919769532653,0.0338274081466897
A043,0.0087850354318169,-0.0061755455613889
A044,-0.008956705279228,-0.0075917445533781
A045,0.0056815158156797,0.0267298355894045
A046,-0.0061153288766369,0.0253617572082153
A047,-0.0077337019251225,0.0172047845475274
A048,0.0090046285471859,-0.0111839774196542
A049,-0.0191758047511606,-0.0219204882898843
A050,0.0016713454805328,0.0125315185307892
A051,-0.0188889937619142,-0.0333455480873348
A052,-0.0030218762300115,0.0074650766597363
A053,0.0008562741276665,-0.0149697665291706
A054,0.0373638605158663,0.043316705534391
A055,0.0139807972288373,0.004951473443158
A056,0.0010677331026589,-0.0061451970293792
A057,-0.0044497975145606,-0.008410851856463
A058,-0.0141140689996154,-0.0163511945138415
A059,0.0206031478881373,0.0234121915465313
A060,0.021541673572268,0.0257902804427136
A061,-0.0261867878452653,-0.0428098444801159
A062,-0.0161521180477496,-0.0289322221653399
A063,3.806966896613406e-05,-0.0065471708317542
A064,0.006076173302301,0.0018773320898751
A065,0.0025588924331477,0.0345820360565638
A066,-0.0180762036448105,-0.0121588108935791
A067,-0.029389534911062,-0.0193653628581271
A068,-0.0114371978543689,-0.0061224517836913
A069,0.0016322828459913,0.0238535322521492
A070,-0.0022680431965048,-0.0156173162914245
A071,-0.0035554387005718,-0.0089017957834597
A072,-0.0117647888800841,-0.0080674192067412
A073,0.0113687249729378,0.0150214436889971
A074,-0.0278449565426349,-0.0236254622586534
A075,-0.004830330825144,-0.013281526703832
A076,-0.0202291523409233,-0.0018698434136787
A077,0.0045701439284689,0.0066916004566467
A078,0.0021573273148245,-0.0022414768872825
A079,-0.0006685032504662,-0.0086829383312913
A080,0.0040074361435948,0.0086720478811467
A081,0.0207291661209944,0.0280706301827186
A082,0.0133690080086665,0.0165946813087498
A083,-0.0171777112096644,-0.0240649170054859
A084,0.0095210584655432,0.0126719336696129
A085,0.0096429841806096,0.0101607622290415
A086,-0.0140344849021409,-0.0261847735373782
A087,0.0041503184468513,-0.0081422558042367
A088,0.0183627553637581,-0.0153695814815802
A089,0.0006640142207395,-0.0077711225720044
A090,-0.0259795803557148,-0.0025040084835225
A091,-0.0062020015903047,-0.0147305358291318
A092,0.0003348143282779,0.0098567327255871
A093,0.0288971384091765,0.0259509683249573
A094,-0.0025360779718543,0.0156548783899563
A095,-0.0205733984628956,-0.0319050710655709
A096,-0.0162437098233857,0.0025901937321288
A097,0.0206216116622863,0.0331699105878577
A098,0.0167648476608528,0.0042319319455913
A099,-0.0008707389845383,0.0094652901584502
A100,0.0248481238592307,0.0343491128395026
A101,0.0046336458240282,0.0251940341575565
A102,0.0178139993554828,0.0116890541797341
A103,-0.0381467615284088,-0.0440822814189628
A104,-0.0376535055448519,-0.044221117839064
A105,0.0069559012420542,0.0098883586816377
A106,0.0110323583763905,0.0117601732585299
A107,0.0009500691129577,0.0205002220453752
A108,0.0046134117380778,0.0227452295507887
A109,0.000765349306548,0.0151134196642447
