UID,rehearsal_frequency,mnemonic_use,strategy_text_combined
A010,0,0,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, "
A050,0,0,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, "
A051,0,0,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, "
A052,0,0,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, "
A053,0,0,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, "
A054,0,0,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, "
A055,0,0,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, "
A056,0,0,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, "
A057,0,0,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, "
A058,0,0,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, "
A059,0,0,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, "
A060,0,0,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, "
A061,0,0,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, "
A062,0,0,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, "
A063,0,0,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, "
A064,0,0,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, "
A065,0,0,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, "
A066,0,0,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, "
A067,0,0,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, "
A068,0,0,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, "
A069,0,0,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, "
A070,0,0,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, "
A071,0,1,"nan,  | nan,  | nan,  | Drew picture and took notes on day 1 of bathroom | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, "
A072,0,0,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, "
A073,0,0,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, "
A074,0,0,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, "
A075,0,0,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, "
A076,0,0,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, "
A077,0,0,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, "
A078,0,0,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, "
A079,0,0,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, "
A080,0,0,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, "
A081,0,1,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | Drawing the room from memory, but i got it very wrong, not the furniture but the door, window and Pictures | nan,  | nan,  | nan,  | nan, "
A082,0,0,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, "
A083,0,0,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, "
A084,0,0,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, "
A085,0,0,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, "
A086,0,0,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, "
A087,0,0,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, "
A088,0,0,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, "
A089,0,0,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, "
A090,0,0,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, "
A091,0,0,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, "
A092,0,0,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, "
A093,0,0,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, "
A094,0,0,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, "
A095,0,0,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, "
A096,0,0,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, "
A097,0,0,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, "
A098,0,0,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, "
A099,0,0,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | What items did and did not belong in a bathroom | nan,  | nan,  | nan,  | nan, "
A100,0,0,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, "
A101,0,0,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, "
A102,0,0,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, "
A103,0,0,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, "
A104,0,0,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, "
A105,0,0,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, "
A106,0,0,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, "
A107,0,0,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, "
A108,0,0,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, "
A109,0,0,"nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan,  | nan, "
