UID,REMEMVR_Slope,REMEMVR_Intercept
A010,-0.0067033685226379,0.827946845595986
A011,-0.0008959815805194,0.0448371198257588
A012,-0.0014728605281611,0.348550886879721
A013,0.0022237174647706,-0.1642263494722377
A014,-0.0052742434821925,0.5261371450050917
A015,-0.010029310133497,1.332238754752651
A016,-0.0026419497152212,0.1217777514802317
A017,-0.0008665281457325,0.2341447176091676
A018,0.0016555544160916,-0.0814402005232594
A019,0.0073712640149178,-0.9824477473603568
A020,0.0042601078250011,-0.7944105079339573
A021,-0.0042584258817644,0.6771118471378456
A022,0.0005596156927277,0.0697571339592384
A023,0.0002475346615174,0.0901043030064127
A024,0.0003980235881223,-0.0295800390793876
A025,-0.0042533591216569,0.2867917787523314
A026,-0.0023578403402813,0.3406688962758619
A027,-0.0006641203722382,-0.0528306001421777
A028,-0.0016806653331824,0.0876177202529864
A029,-0.0055378163114337,0.8938146946777912
A030,-0.0018103592251633,0.3745375929534972
A031,-0.0044893333706543,0.3700491043564632
A032,-0.0023996989892521,0.6705196713770479
A033,-0.0021044736040863,0.3231149510864248
A034,-0.0051203289915584,0.5230230124903821
A035,0.000773985867778,-0.1374409180648214
A036,-0.0006556150572893,-0.0763089851573378
A037,-0.0046231616902816,0.53518583065271
A038,-0.0037860895212975,0.5057904323316847
A039,-0.0077976799346926,1.0759064146304045
A040,0.0053710719364836,-0.8127842386677817
A041,0.000368907922082,0.0884709578278847
A042,0.0066010212330296,-0.7381167787516891
A043,-0.0031151817479551,0.3676110390288599
A044,0.0041839837669216,-0.7167733195891424
A045,0.0082289267662672,-0.9624052299474763
A046,0.0092277008873778,-1.086682549159072
A047,0.0068721625396272,-0.9163843260825272
A048,-0.0012172825074878,0.2541588009164373
A049,-0.0033100321952666,0.4593027587550769
A050,0.0057861298490044,-0.6974079434364269
A051,-0.0002115601558618,-0.0843911083544816
A052,-0.0010033936230261,0.0682390085084236
A053,-0.0038993802372543,0.4130038677517555
A054,-0.0039013028790499,0.8214845213869432
A055,-0.0007296896377415,0.0676697474801467
A056,-0.0003966487542592,-0.055704952961772
A057,0.0032537666123923,-0.4656115206472079
A058,0.0013164221744,-0.2525173838278354
A059,-0.0057727687182523,0.8635336672471954
A060,-0.0006840570576259,0.1998208018333398
A061,-0.0079488294458876,0.7863538188268917
A062,-0.0025575375978304,0.1378543546989428
A063,-0.0022619053541194,0.2236486569316264
A064,-0.0023339370119117,0.2976397818582432
A065,0.0127665074535154,-1.6734988967465183
A066,0.0029147674543579,-0.4935652049138714
A067,0.0049390194434267,-0.7235437731168243
A068,-0.0029162321268071,0.3381362473777488
A069,0.008528050658533,-1.0483640372700769
A070,0.0007164060586708,-0.1910514412594635
A071,-0.0011704884155901,0.1765199374482957
A072,-0.000800504961137,0.0866960776381298
A073,-0.0009596371085642,0.3354573613323762
A074,0.0002336672374707,-0.2207193306630042
A075,0.001858172745411,-0.2528230586268109
A076,0.006394574081879,-1.0648517991599225
A077,-0.0026336558970036,0.4697958451932048
A078,0.0030360792106576,-0.4527253003459574
A079,0.0026878769315735,-0.3882459103083289
A080,-0.0004588629570528,0.038454019027913
A081,-0.0007191966696274,0.3125478804647451
A082,-0.0028086898270341,0.4246927565468932
A083,-0.0057762448059457,0.6414645376192102
A084,0.0016838789652528,-0.0102861197217512
A085,-0.0027714576014712,0.2840569726210976
A086,0.001021245433959,-0.3335308115962078
A087,-0.0037439273447222,0.5016826747289931
A088,-0.0103059975592817,1.3411196863298311
A089,-0.005780263745863,0.7619810999530042
A090,0.0043694120571411,-0.6572118038596224
A091,0.0022828400821531,-0.3527803165118314
A092,0.0051720011584373,-0.6648177682876458
A093,-0.0011468040709861,0.3760042617336533
A094,0.0065615390019331,-0.841235128368
A095,-0.001161800261697,-0.0034910229983311
A096,0.0090526245459286,-1.1822363674296188
A097,0.0012112249319769,0.0861841908889533
A098,-0.0021771733843877,0.2970969890028733
A099,-0.0041092044125199,0.645938829340172
A100,-0.0003687429957895,0.2196399144710652
A101,0.0082663557757521,-0.9736859989662316
A102,8.776626236086582e-05,0.0044111685846821
A103,0.0015500019196045,-0.4180486322185186
A104,-0.0030918947765123,0.0416747017630212
A105,-0.0005618838872895,0.2108485279200725
A106,-0.0021903543139603,0.5356682116796707
A107,0.0088989683873569,-1.034422986160555
A108,0.006102787322173,-0.6960581860820232
A109,0.0053840695615294,-0.6538316860369485
