UID,slope
A010,-0.0067033685226379
A011,-0.0008959815805194
A012,-0.0014728605281611
A013,0.0022237174647706
A014,-0.0052742434821925
A015,-0.010029310133497
A016,-0.0026419497152212
A017,-0.0008665281457325
A018,0.0016555544160916
A019,0.0073712640149178
A020,0.0042601078250011
A021,-0.0042584258817644
A022,0.0005596156927277
A023,0.0002475346615174
A024,0.0003980235881223
A025,-0.0042533591216569
A026,-0.0023578403402813
A027,-0.0006641203722382
A028,-0.0016806653331824
A029,-0.0055378163114337
A030,-0.0018103592251633
A031,-0.0044893333706543
A032,-0.0023996989892521
A033,-0.0021044736040863
A034,-0.0051203289915584
A035,0.000773985867778
A036,-0.0006556150572893
A037,-0.0046231616902816
A038,-0.0037860895212975
A039,-0.0077976799346926
A040,0.0053710719364836
A041,0.000368907922082
A042,0.0066010212330296
A043,-0.0031151817479551
A044,0.0041839837669216
A045,0.0082289267662672
A046,0.0092277008873778
A047,0.0068721625396272
A048,-0.0012172825074878
A049,-0.0033100321952666
A050,0.0057861298490044
A051,-0.0002115601558618
A052,-0.0010033936230261
A053,-0.0038993802372543
A054,-0.0039013028790499
A055,-0.0007296896377415
A056,-0.0003966487542592
A057,0.0032537666123923
A058,0.0013164221744
A059,-0.0057727687182523
A060,-0.0006840570576259
A061,-0.0079488294458876
A062,-0.0025575375978304
A063,-0.0022619053541194
A064,-0.0023339370119117
A065,0.0127665074535154
A066,0.0029147674543579
A067,0.0049390194434267
A068,-0.0029162321268071
A069,0.008528050658533
A070,0.0007164060586708
A071,-0.0011704884155901
A072,-0.000800504961137
A073,-0.0009596371085642
A074,0.0002336672374707
A075,0.001858172745411
A076,0.006394574081879
A077,-0.0026336558970036
A078,0.0030360792106576
A079,0.0026878769315735
A080,-0.0004588629570528
A081,-0.0007191966696274
A082,-0.0028086898270341
A083,-0.0057762448059457
A084,0.0016838789652528
A085,-0.0027714576014712
A086,0.001021245433959
A087,-0.0037439273447222
A088,-0.0103059975592817
A089,-0.005780263745863
A090,0.0043694120571411
A091,0.0022828400821531
A092,0.0051720011584373
A093,-0.0011468040709861
A094,0.0065615390019331
A095,-0.001161800261697
A096,0.0090526245459286
A097,0.0012112249319769
A098,-0.0021771733843877
A099,-0.0041092044125199
A100,-0.0003687429957895
A101,0.0082663557757521
A102,8.776626236086582e-05
A103,0.0015500019196045
A104,-0.0030918947765123
A105,-0.0005618838872895
A106,-0.0021903543139603
A107,0.0088989683873569
A108,0.006102787322173
A109,0.0053840695615294
