UID,location_type,random_intercept,random_slope
A010,Source,0.05655257275626928,0.1632747059583646
A011,Source,0.3767438600759091,0.0014541989553309715
A012,Source,0.36374341395163406,0.29337456468278006
A013,Source,-0.37235835634047015,0.02388141806183458
A014,Source,0.5255990485172553,0.1367116975762746
A015,Source,0.9137194573708168,0.048019717828546436
A016,Source,0.44828271412970977,-0.15727858306566886
A017,Source,1.0799959323063941,0.6060779984692368
A018,Source,-0.026581302875188798,-0.38865255392666104
A019,Source,-0.3785455120594006,0.1645620217051556
A020,Source,0.06689627500787096,-0.26407149531867147
A021,Source,0.5135188629906193,0.474861804939752
A022,Source,-0.5613849818810194,0.07888512943281052
A023,Source,0.3180524759629618,0.26061269734930637
A024,Source,0.21599780772926744,-0.08093532848203208
A025,Source,0.5860590192626636,-0.5608249373153547
A026,Source,0.0481608889810625,0.3914256281126619
A027,Source,0.22973961195099582,-0.3297527886839359
A028,Source,0.18035648148213232,-0.24897305519997023
A029,Source,0.9765759925200996,-0.04473288567817948
A030,Source,0.25505752860644076,0.4922451591350398
A031,Source,0.5416438770394659,-0.4487662720272423
A032,Source,0.10702010153210717,0.10488129027846281
A033,Source,0.13949718279293233,0.26187026590630647
A034,Source,1.124302921533977,0.003077930522053269
A035,Source,0.14412631683795663,0.09694103223522092
A036,Source,-0.9057227089618866,0.04781031417281063
A037,Source,0.21634700765194156,-0.5316422513187019
A038,Source,0.3552569406799225,0.3787814725892161
A039,Source,0.6773959420036766,0.31655206545239817
A040,Source,-0.55398738983984,-0.4059002309460351
A041,Source,0.372394711667608,0.2506218498312288
A042,Source,-0.9508954388606697,0.10049625993319893
A043,Source,0.8591617312102886,0.041298913152309526
A044,Source,-1.0776004596536224,0.02504069038738693
A045,Source,-0.6534627560633306,0.25061842363658854
A046,Source,-0.3378779523368985,0.09967274817726879
A047,Source,-0.14137652437839401,-0.07166485960672304
A048,Source,0.1803319087475084,-0.0209851910569805
A049,Source,0.4305182670369694,-0.1272242769261104
A050,Source,-0.33946582513513157,-1.009378652493939
A051,Source,0.3726509070688003,-0.07724140577360791
A052,Source,0.10190523225151867,0.002103759603037806
A053,Source,-0.24518407486156246,-0.07816235038625834
A054,Source,1.107029814788407,0.35079829110365857
A055,Source,-0.2423519869790742,-0.4599599636891976
A056,Source,-0.31393440223103913,-0.10094560398959544
A057,Source,-0.40645443732278114,-0.7552917843315538
A058,Source,-0.5916551652530831,-0.23594291206027587
A059,Source,-0.20789671660280137,0.3128080078340451
A060,Source,0.20449201756221344,0.45618408182092496
A061,Source,0.4025853507189994,0.31188206930250134
A062,Source,0.19793770796824325,-0.32205047397167547
A063,Source,-0.527919409542969,-0.0449570048603215
A064,Source,0.1064241844989449,-0.2764227815087536
A065,Source,-0.8635338094026356,0.00431702105265105
A066,Source,-0.41898495927209367,0.1313387510476417
A067,Source,-0.9515842907964328,-0.6764954690530759
A068,Source,1.0142496465734818,0.0031044795073863836
A069,Source,-1.0875202789413612,-0.31129687326883926
A070,Source,-0.40186304927852123,-0.58443423582255
A071,Source,0.3893880291179079,-0.046830375142824475
A072,Source,0.7572836199699908,-0.23763885595265888
A073,Source,-0.026286093353032877,0.3114143336780013
A074,Source,-0.16087101970206968,-0.31609829680218127
A075,Source,-0.7290499018609076,0.16670336453418017
A076,Source,-0.8624015172175534,-0.09917251335787625
A077,Source,-0.05559642503717691,0.0245656112277045
A078,Source,-0.7579417754759473,-0.14849581626907213
A079,Source,-0.22615203444594825,0.10239723678123537
A080,Source,0.26957674107765284,-0.13345101852011756
A081,Source,0.367404840774678,0.14820085728172586
A082,Source,0.13734099440333764,-0.1349260216698019
A083,Source,0.27093684361224424,0.07895032434022722
A084,Source,-0.6273074670283251,0.19844859239191695
A085,Source,0.49465231434056517,-0.040417304499983375
A086,Source,0.6245995066578801,-0.12818562201080708
A087,Source,0.32885228443961456,0.3325230718945724
A088,Source,0.44599828376286915,0.30741625423001767
A089,Source,0.6081569996334426,0.11549408514361421
A090,Source,-0.8539846286972763,0.064689194697145
A091,Source,0.04680722702895638,0.1624912167553335
A092,Source,0.22001338434326806,-0.09377632405960609
A093,Source,0.19626985495515317,0.0079681163473814
A094,Source,-0.8987156097973863,-0.17322382812818496
A095,Source,0.17068879530423428,-0.09419233715993017
A096,Source,0.20579712280792398,0.24711931619587388
A097,Source,-0.9375147889003734,0.09721327107228112
A098,Source,0.6772333543226636,0.09592876369577454
A099,Source,0.500568492575665,0.6795577169234509
A100,Source,0.5613993945130276,-0.07475506298055466
A101,Source,-0.8726717330397586,-0.0606300752178173
A102,Source,0.002578113723353503,0.18063306356824219
A103,Source,-1.722434201281999,0.15700310009130633
A104,Source,0.44335983417699115,-1.0352832934384861
A105,Source,0.68126006538998,-0.0450949222425852
A106,Source,-0.1411044416889541,0.16108887384778448
A107,Source,-1.3639121983487554,0.2868575642827877
A108,Source,-1.2071125084008736,0.38673054034718507
A109,Source,-0.20929167755195324,0.47717495913326397
A010,Destination,0.06957874217014452,-0.10890892014724773
A011,Destination,0.7178564269699138,-0.08998795800201662
A012,Destination,0.29396931989300207,0.08016138067856232
A013,Destination,-0.059918037062668995,0.05670792761576985
A014,Destination,0.731879987479024,-0.039104734747283924
A015,Destination,0.29272170208928455,-0.20945147583356272
A016,Destination,0.5014210266505176,4.646007082421517e-05
A017,Destination,1.1693184070430385,-0.07890885451203117
A018,Destination,-0.5405225574378149,-0.3661031437992029
A019,Destination,-0.04787437040219463,0.18766017157675532
A020,Destination,-0.08052795842774384,-0.05183526935278263
A021,Destination,0.1438063032232434,-0.0531007340305398
A022,Destination,-1.6126259121118764,0.1457080674406617
A023,Destination,0.5100143929977844,0.1314515774295056
A024,Destination,-0.08281521989887039,0.19391380498601238
A025,Destination,-0.09478061054440362,-0.2590865810273626
A026,Destination,0.5482581544189208,0.263254401918786
A027,Destination,0.5058032276375817,-0.06869890614046821
A028,Destination,0.4413127916635277,-0.09625059115420853
A029,Destination,0.9675721844299048,-0.08761661971308683
A030,Destination,0.016653464818424012,0.11007274668075895
A031,Destination,0.4253136606438639,-0.2767023967766253
A032,Destination,-0.3707776740557576,0.18247772963327732
A033,Destination,-0.41511331447037497,-0.007682117576648614
A034,Destination,1.1642688176240772,-0.03190345295423564
A035,Destination,0.3421169463344778,-0.00631195291773862
A036,Destination,-1.0045615883755188,-0.0465659033572163
A037,Destination,-0.024993509285086285,-0.1872054109364936
A038,Destination,0.5482581120516393,0.08170807099314342
A039,Destination,1.3106940751582778,0.03973118506303436
A040,Destination,-0.9351285821614722,-0.1980310976363289
A041,Destination,-0.32550876267120377,0.0469755232143183
A042,Destination,-0.6569022489487288,0.28986754058777947
A043,Destination,1.4870140500568092,-0.062399070706936566
A044,Destination,-0.7133071743395223,0.03270186660890156
A045,Destination,0.021681863299634802,-0.020951539116151215
A046,Destination,0.059271430610420436,-0.013704354489605731
A047,Destination,0.019032796893428384,-0.02139722193806291
A048,Destination,0.10706021921937518,0.05839062373018926
A049,Destination,-0.005825633467703013,-0.03732269643366134
A050,Destination,-0.8359712487227756,-0.2929997445202066
A051,Destination,0.7341266341662867,-0.08783764234777182
A052,Destination,0.07658247551350852,0.04644721230860611
A053,Destination,-0.08557380838894131,0.09853290070861291
A054,Destination,0.7654984337114018,0.016785932363636128
A055,Destination,-0.2239006958604263,0.0612375768954374
A056,Destination,-0.19987700632819896,0.026713556031582583
A057,Destination,-0.6274415392464829,-0.209098327662789
A058,Destination,-0.5127885818259252,-0.09571563900028365
A059,Destination,-0.8401803170608718,0.04132197768294423
A060,Destination,0.9345609021911994,0.30789680581045803
A061,Destination,1.5389329449002453,-0.03287206544000653
A062,Destination,-0.2766082037556318,-0.2684383338841687
A063,Destination,-0.3996475410452748,-0.04445834005575506
A064,Destination,0.09045478646682881,0.22553015776028348
A065,Destination,-0.5519520227203776,0.03971181045313065
A066,Destination,-0.6774895982035855,-0.09374560074514073
A067,Destination,-1.390980976098296,-0.06939179856395564
A068,Destination,1.1195321043202215,-0.18413581824477512
A069,Destination,-0.7237221290756346,-0.15913630574720664
A070,Destination,-1.0132985885736623,-0.21712318284718615
A071,Destination,-0.09003356981896636,-0.15915307480858973
A072,Destination,0.9909577985647965,0.0216710505398102
A073,Destination,-0.0960400078220852,0.11257882534027432
A074,Destination,-0.4908492361460049,-0.010945684108006717
A075,Destination,-0.843146584576016,0.2358611875574015
A076,Destination,-0.808262963693842,-0.025325898032713658
A077,Destination,-0.4020787271412321,0.07574856304340932
A078,Destination,-1.0760294286058092,0.19488227227999763
A079,Destination,0.012471981766614876,0.0036994004772038644
A080,Destination,0.5142055748778602,-0.12922472833857176
A081,Destination,0.4243494204172569,0.17869242930388068
A082,Destination,-0.7325755374218725,0.039434095229913806
A083,Destination,0.39363270750064716,0.11049757147486655
A084,Destination,-0.42063156693760445,0.08798821571168432
A085,Destination,0.2840688220630343,-0.3370496803311674
A086,Destination,0.4854704946543164,0.08382212516232589
A087,Destination,0.6427670379861165,-0.21871668160671906
A088,Destination,0.7129538034040037,0.2245123075497677
A089,Destination,0.3227279687269686,-0.027877887054107927
A090,Destination,-0.6079313498579217,0.060389799800495525
A091,Destination,0.3626187403672828,0.1515501889779186
A092,Destination,-0.3070047117945578,0.04723430552488352
A093,Destination,0.6097059932915345,-0.06260318813237645
A094,Destination,-0.6596257806010333,0.01514818670141878
A095,Destination,0.06216321819908132,-0.10540481035104325
A096,Destination,0.7596340403765814,0.07073940958531044
