composite_ID,TC_IFR-U-i1,TC_IFR-U-i2,TC_IFR-U-i3,TC_IFR-U-i4,TC_IFR-U-i5,TC_IFR-U-i6,TC_ICR-U-i1,TC_ICR-U-i2,TC_ICR-U-i3,TC_ICR-U-i4,TC_ICR-U-i5,TC_ICR-U-i6,TC_IRE-U-i1,TC_IRE-U-i2,TC_IRE-U-i3,TC_IRE-U-i4,TC_IRE-U-i5,TC_IRE-U-i6,TC_IFR-D-i1,TC_IFR-D-i2,TC_IFR-D-i3,TC_IFR-D-i4,TC_IFR-D-i5,TC_IFR-D-i6,TC_ICR-D-i1,TC_ICR-D-i2,TC_ICR-D-i3,TC_ICR-D-i4,TC_ICR-D-i5,TC_ICR-D-i6,TC_IRE-D-i1,TC_IRE-D-i2,TC_IRE-D-i3,TC_IRE-D-i4,TC_IRE-D-i5,TC_IRE-D-i6
A077_T1,4,4,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,1,0,1,1,4,0,4,1,2,2,1,1,4,0,1,1,1,1
A077_T2,4,4,0,0,0,0,0,0,0,4,4,2,0,0,0,4,4,0,2,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0
A077_T3,4,4,4,2,0,0,4,0,4,2,0,0,4,0,4,1,0,0,2,0,0,2,4,4,1,0,0,2,0,0,1,0,0,2,0,1
A077_T4,4,4,0,0,0,4,1,0,4,4,1,4,1,2,4,4,0,4,0,4,1,1,0,0,0,0,4,0,2,0,0,0,4,1,1,1
A078_T1,3,0,0,0,0,0,1,4,0,3,4,2,1,2,1,3,3,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,2
A078_T2,1,1,0,2,3,0,1,4,3,2,0,0,1,4,4,2,1,1,0,1,1,0,1,0,2,0,1,0,0,0,1,1,0,0,1,0
A078_T3,0,0,0,0,0,0,1,2,0,4,0,0,1,1,1,3,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0
A078_T4,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,1,0,0,3,0,1,0,0,0,1,0,0,1,0,0,3,0,1,1,1,1
A079_T1,4,4,2,1,0,0,0,0,2,4,0,4,1,3,4,4,0,4,3,4,2,4,0,0,2,0,3,1,4,4,2,2,2,2,4,4
A079_T2,4,4,4,0,4,0,4,1,4,1,4,1,4,1,4,3,4,2,0,0,0,1,1,0,1,2,0,1,2,1,0,2,2,1,3,3
A079_T3,1,1,0,2,0,0,0,3,2,3,0,4,1,4,1,3,0,4,1,1,0,0,1,0,0,3,2,0,0,4,0,0,3,1,0,4
A079_T4,1,0,0,0,0,0,3,3,4,0,0,1,2,3,4,1,0,0,0,0,1,0,0,0,1,2,1,0,0,0,1,4,3,0,0,2
