item_name,Difficulty,Overall_Discrimination,Discrim_Source,Discrim_Destination
TC_ICR-D-i1,0.46265774965286255,2.9399695,0.0,2.9399695
TC_ICR-D-i2,0.336098313331604,3.859127,0.0,3.859127
TC_ICR-D-i3,0.3920576870441437,2.8708103,0.0,2.8708103
TC_ICR-D-i4,0.3009445071220398,3.864102,0.0,3.864102
TC_ICR-D-i5,0.3785761892795563,3.6322148,0.0,3.6322148
TC_ICR-D-i6,0.3393193483352661,3.5212047,0.0,3.5212047
TC_ICR-U-i1,0.11226429045200348,4.0427,4.0427,0.0
TC_ICR-U-i2,0.07709469646215439,4.216341,4.216341,0.0
TC_ICR-U-i3,0.07016806304454803,4.1837683,4.1837683,0.0
TC_ICR-U-i4,0.09604717791080475,3.963699,3.963699,0.0
TC_ICR-U-i5,0.09580957889556885,4.463264,4.463264,0.0
TC_ICR-U-i6,0.18815599381923676,3.4780536,3.4780536,0.0
TC_IFR-D-i1,0.5600936412811279,2.461349,0.0,2.461349
TC_IFR-D-i2,0.3441651463508606,3.5579355,0.0,3.5579355
TC_IFR-D-i3,0.29305288195610046,3.869324,0.0,3.869324
TC_IFR-D-i4,0.3898262679576874,3.395076,0.0,3.395076
TC_IFR-D-i5,0.48237863183021545,3.1172922,0.0,3.1172922
TC_IFR-D-i6,0.5564992427825928,3.025756,0.0,3.025756
TC_IFR-U-i1,0.0847940593957901,3.6042917,3.6042917,0.0
TC_IFR-U-i2,0.18135273456573486,3.6259086,3.6259086,0.0
TC_IFR-U-i3,0.10565902292728424,3.9591417,3.9591417,0.0
TC_IFR-U-i4,0.23991449177265167,3.7806332,3.7806332,0.0
TC_IFR-U-i5,0.2193206548690796,3.993697,3.993697,0.0
TC_IFR-U-i6,0.5503750443458557,2.8655572,2.8655572,0.0
TC_IRE-D-i1,0.4192970395088196,2.9941182,0.0,2.9941182
TC_IRE-D-i2,0.374604731798172,3.687767,0.0,3.687767
TC_IRE-D-i3,0.39466652274131775,2.812558,0.0,2.812558
TC_IRE-D-i4,0.27294695377349854,3.964325,0.0,3.964325
TC_IRE-D-i5,0.3909734785556793,3.3830554,0.0,3.3830554
TC_IRE-D-i6,0.3314804434776306,3.5199482,0.0,3.5199482
TC_IRE-U-i1,0.06421911716461182,4.3257294,4.3257294,0.0
TC_IRE-U-i2,0.07626290619373322,3.7158136,3.7158136,0.0
TC_IRE-U-i3,0.08397672325372696,3.6509213,3.6509213,0.0
TC_IRE-U-i4,0.20639699697494507,2.8405592,2.8405592,0.0
TC_IRE-U-i5,0.06375012546777725,4.5194187,4.5194187,0.0
TC_IRE-U-i6,0.19258823990821838,3.1236665,3.1236665,0.0
